"Name","Id","MainType","SubType","ItemGrade","NeedCost01Id","NeedCost01Count","NeedCost02Id","NeedCost02Count","NeedCost03Id","NeedCost03Count"
"1","1","21","1","2","4","50","0","0","0","0"
"2","2","21","2","2","4","50","0","0","0","0"
"101","101","21","1","3","4","100","0","0","0","0"
"102","102","21","2","3","4","100","0","0","0","0"
"103","103","6","33","3","4","100","0","0","0","0"
"104","104","8","1","3","4","50","0","0","0","0"
"105","105","8","2","3","4","50","0","0","0","0"
"106","106","8","3","3","4","50","0","0","0","0"
"107","107","8","4","3","4","50","0","0","0","0"
"108","108","8","5","3","4","50","0","0","0","0"
"109","109","8","6","3","4","50","0","0","0","0"
"110","110","8","7","3","4","50","0","0","0","0"
"111","111","8","8","3","4","50","0","0","0","0"
"112","112","17","2","3","4","50","0","0","0","0"
"201","201","2","1","4","4","1200","0","0","0","0"
"202","202","2","2","4","4","1200","0","0","0","0"
"203","203","2","3","4","4","1200","0","0","0","0"
"204","204","2","4","4","4","1200","0","0","0","0"
"205","205","2","5","4","4","1200","0","0","0","0"
"206","206","3","1","4","4","1200","0","0","0","0"
"207","207","3","2","4","4","1200","0","0","0","0"
"208","208","3","3","4","4","1200","0","0","0","0"
"209","209","3","4","4","4","1200","0","0","0","0"
"210","210","4","1","4","4","1200","0","0","0","0"
"211","211","4","2","4","4","1200","0","0","0","0"
"212","212","4","3","4","4","1200","0","0","0","0"
"213","213","4","4","4","4","1200","0","0","0","0"
"214","214","8","1","4","4","200","0","0","0","0"
"215","215","8","2","4","4","200","0","0","0","0"
"216","216","8","3","4","4","200","0","0","0","0"
"217","217","8","4","4","4","200","0","0","0","0"
"218","218","8","5","4","4","200","0","0","0","0"
"219","219","8","6","4","4","200","0","0","0","0"
"220","220","8","7","4","4","200","0","0","0","0"
"221","221","8","8","4","4","200","0","0","0","0"
"222","222","17","2","4","4","200","0","0","0","0"
"223","223","6","33","4","4","100","0","0","0","0"
"224","224","21","1","4","4","400","0","0","0","0"
"225","225","21","2","4","4","400","0","0","0","0"
"226","226","20","1","4","4","1200","0","0","0","0"
"227","227","11","1","4","4","400","0","0","0","0"
"228","228","11","2","4","4","1200","0","0","0","0"
"229","229","11","3","4","4","1200","0","0","0","0"
"231","231","11","7","4","4","400","0","0","0","0"
"232","232","11","8","4","4","400","0","0","0","0"
"233","233","14","8","4","4","100","0","0","0","0"
"234","234","8","9","4","4","200","0","0","0","0"
"235","235","2","6","4","4","1200","0","0","0","0"
"301","301","2","1","5","4","6000","0","0","0","0"
"302","302","2","2","5","4","6000","0","0","0","0"
"303","303","2","3","5","4","6000","0","0","0","0"
"304","304","2","4","5","4","6000","0","0","0","0"
"305","305","2","5","5","4","6000","0","0","0","0"
"306","306","3","1","5","4","6000","0","0","0","0"
"307","307","3","2","5","4","6000","0","0","0","0"
"308","308","3","3","5","4","6000","0","0","0","0"
"309","309","3","4","5","4","6000","0","0","0","0"
"310","310","4","1","5","4","6000","0","0","0","0"
"311","311","4","2","5","4","6000","0","0","0","0"
"312","312","4","3","5","4","6000","0","0","0","0"
"313","313","4","4","5","4","6000","0","0","0","0"
"314","314","8","1","5","4","1000","0","0","0","0"
"315","315","8","2","5","4","1000","0","0","0","0"
"316","316","8","3","5","4","1000","0","0","0","0"
"317","317","8","4","5","4","1000","0","0","0","0"
"318","318","8","5","5","4","1000","0","0","0","0"
"319","319","8","6","5","4","1000","0","0","0","0"
"320","320","8","7","5","4","1000","0","0","0","0"
"321","321","8","8","5","4","1000","0","0","0","0"
"322","322","17","2","5","4","1000","0","0","0","0"
"323","323","6","33","5","4","100","0","0","0","0"
"324","324","21","1","5","4","2000","0","0","0","0"
"325","325","21","2","5","4","2000","0","0","0","0"
"326","326","20","1","5","4","6000","0","0","0","0"
"327","327","11","1","5","4","2000","0","0","0","0"
"328","328","11","2","5","4","6000","0","0","0","0"
"329","329","11","3","5","4","6000","0","0","0","0"
"331","331","11","7","5","4","2000","0","0","0","0"
"332","332","11","8","5","4","2000","0","0","0","0"
"333","333","8","9","5","4","1000","0","0","0","0"
"334","334","2","6","5","4","6000","0","0","0","0"
"335","335","6","39","5","4","100","0","0","0","0"
