"Name","RandomGetId","OpenEffect","ItemId","MainType","RewardProbability","RewardType","RewardId","RewardValue","xdracoProbability"
"26001","26001","0","26","0","41700","1","(901200102,901200102,901200102,901200102,901200102,901200102)","5","0"
"26002","26002","0","26","0","41700","1","(901200202,901200202,901200202,901200202,901200202,901200202)","5","0"
"26004","26004","0","26","0","5600","1","(901200103,901200103,901200103,901200103,901200103,901200103)","1","0"
"26005","26005","0","26","0","5500","1","(901200203,901200203,901200203,901200203,901200203,901200203)","1","0"
"26006","26006","0","26","0","5500","1","(901200303,901200303,901200303,901200303,901200303,901200303)","1","0"
"100026001","100026001","0","260","0","41700","1","(901200102,901200102,901200102,901200102,901200102,901200102)","5","0"
"100026002","100026002","0","260","0","41700","1","(901200202,901200202,901200202,901200202,901200202,901200202)","5","0"
"100026004","100026004","0","260","0","5600","1","(901200103,901200103,901200103,901200103,901200103,901200103)","1","0"
"100026005","100026005","0","260","0","5500","1","(901200203,901200203,901200203,901200203,901200203,901200203)","1","0"
"100026006","100026006","0","260","0","5500","1","(901200303,901200303,901200303,901200303,901200303,901200303)","1","0"
"27001","27001","0","27","0","75000","1","(901200103,901200103,901200103,901200103,901200103,901200103)","1","0"
"27002","27002","0","27","0","20000","1","(901200203,901200203,901200203,901200203,901200203,901200203)","1","0"
"27003","27003","0","27","0","5000","1","(901200303,901200303,901200303,901200303,901200303,901200303)","1","0"
"100027001","100027001","0","270","0","75000","1","(901200103,901200103,901200103,901200103,901200103,901200103)","1","0"
"100027002","100027002","0","270","0","20000","1","(901200203,901200203,901200203,901200203,901200203,901200203)","1","0"
"100027003","100027003","0","270","0","5000","1","(901200303,901200303,901200303,901200303,901200303,901200303)","1","0"
"28001","28001","0","28","0","75000","1","(901200104,901200104,901200104,901200104,901200104,901200104)","1","0"
"28002","28002","0","28","0","20000","1","(901200204,901200204,901200204,901200204,901200204,901200204)","1","0"
"28003","28003","0","28","0","5000","1","(901200304,901200304,901200304,901200304,901200304,901200304)","1","0"
