"Name","ObjectInteractionMonGenID","StageId","ObjectId","UseId","ItemCount","PosID","GroupGenID","CastingDesc","DropID"
"55405","55405","200022240","410000313","1401000549","1","55405","0","0","0"
"55902","55902","10081","410000314","1401000550","1","55902","0","0","0"
"60100","60100","201500010","600400101","1401000563","1","203210401","0","0","0"
"60101","60101","201500010","600400111","1401000564","1","203210402","0","0","0"
"60102","60102","201500010","600400121","1401000565","1","203210403","0","0","0"
"60110","60110","201500010","600400201","1401000566","1","203210411","0","0","0"
"60111","60111","201500010","600400211","1401000567","1","203210412","0","0","0"
"60112","60112","201500010","600400221","1401000568","1","203210413","0","0","0"
"60120","60120","201500010","600400301","1401000569","1","203210421","0","0","0"
"60121","60121","201500010","600400311","1401000570","1","203210422","0","0","0"
"60122","60122","201500010","600400321","1401000571","1","203210423","0","0","0"
"60130","60130","201500040","600400401","1401000575","1","203210431","0","0","0"
"60131","60131","201500040","600400411","1401000576","1","203210432","0","0","0"
"60132","60132","201500040","600400421","1401000577","1","203210433","0","0","0"
"157104","157104","110502030","157104","1301001902","1","402901001","0","2210069","0"
"157106","157106","110502030","157106","1301001904","1","402901002","0","2210069","0"
"562081","562081","107002020","410010201","1301001435","1","562081","0","0","0"
"562082","562082","107002020","410010202","1301001435","1","562082","0","0","0"
"562121","562121","108001050","410010203","1301001675","1","562121","0","0","0"
"562122","562122","108001050","410010204","1301001675","1","562122","0","0","0"
"563161","563161","108001020","410010309","1301001676","1","100000","0","0","0"
"4200900","4200900","109001020","157022","1301001561","1","4200900","0","0","0"
"4201100","4201100","109001030","157023","1301001564","1","4201100","0","0","0"
"4201300","4201300","109001050","157010","1301001583","1","4201300","0","0","0"
"4202400","4202400","109001060","157016","1301001581","1","4202400","0","0","0"
"3112001","3112001","103003070","3112001","1810000001","1","3112002","0","2210069","100080000"
"3112002","3112002","104004060","3112002","1810000001","1","3212000","0","2210069","100080000"
"3113001","3113001","105002070","3113001","1810000002","1","3213000","0","2210069","100090000"
"3113002","3113002","106002010","3113002","1810000002","1","3213000","0","2210069","100090000"
"3113003","3113003","11001","3113003","1810000002","1","3213000","0","2210069","100090000"
"3114001","3114001","11001","3114001","1810000003","1","3214000","0","2210069","100100000"
"3115001","3115001","12001","3115001","1810000004","1","3215000","0","2210069","100110000"
"3122001","3122001","102005020","3122001","1810000005","1","3222000","0","2210069","100120000"
"3122002","3122002","104004090","3122002","1810000005","1","3222000","0","2210069","100120000"
"3123001","3123001","104005010","3123001","1810000006","1","3223000","0","2210069","100130000"
"3123002","3123002","106002020","3123002","1810000006","1","3223000","0","2210069","100130000"
"3123003","3123003","11001","3123003","1810000006","1","3223000","0","2210069","100130000"
"3124001","3124001","11001","3124001","1810000007","1","3224000","0","2210069","100140000"
"3125001","3125001","12001","3125001","1810000008","1","3225000","0","2210069","100150000"
"110502149","110502149","110502060","110502149","1301001917","1","10100","0","2200002","0"
"110502150","110502150","110502060","110502150","1301001918","1","10200","0","2200002","0"
"110502151","110502151","110502060","110502151","1301001919","1","10300","0","2200002","0"
"300004003","300004003","201004040","410000344","1702000076","1","300004003","0","0","0"
"300004004","300004004","201300828","410000346","1401000554","1","300004004","0","0","0"
"300004201","300004201","200022251","410000347","1301001406","10","300004201","0","0","0"
"300004007","300004007","109001050","410000349","1702000077","1","300004007","0","0","0"
"300004009","300004009","109001060","410000351","1401000555","1","300004009","0","0","0"
"300004011","300004011","201400008","410000352","1401000556","1","300004011","0","0","0"
"300004012","300004012","109001030","410000353","1401000557","1","300004012","0","0","0"
"300004102","300004102","201004040","0","0","1","300004102","0","0","0"
"300004104","300004104","109001050","0","0","1","300004104","0","0","0"
"300004106","300004106","109001060","0","0","1","300004106","0","0","0"
"300004107","300004107","109001030","0","0","1","300004107","0","0","0"
"300071012","300071012","301031010","300071012","1401000582","1","301301204","0","2200002","0"
"300071022","300071022","301031020","300071022","1401000583","1","301302204","0","2200002","0"
"300071032","300071032","301031030","300071032","1401000584","1","301303204","0","2200002","0"
"350071100","350071100","13001","350071100","1401000558","1","100","0","0","0"
"350071200","350071200","13001","350071200","1401000559","1","200","0","0","0"
"350071300","350071300","13001","350071300","1401000560","1","300","0","0","0"
"350071400","350071400","13001","350071400","1401000561","1","400","0","0","0"
"350071500","350071500","13001","350071500","1401000562","1","500","0","0","0"
"350071600","350071600","13001","350071601","1401000581","1","600","0","0","0"
"400003111","400003111","110500020","110500207","0","0","110501259","0","0","0"
"400003107","400003107","110500020","110500208","0","0","110501262","0","0","0"
"400004107","400004107","110500030","110500316","0","0","3000","0","0","0"
