"Name","RowId","CraftGroupId","CraftId","TabVertical"
"1","1","1","1","1"
"2","2","1","2","1"
"3","3","1","3","1"
"4","4","1","4","1"
"5","5","1","5","1"
"6","6","1","6","1"
"7","7","1","7","1"
"8","8","1","8","1"
"9","9","1","9","1"
"10","10","1","10","1"
"11","11","1","11","1"
"12","12","1","12","1"
"13","13","1","13","1"
"14","14","1","14","1"
"15","15","2","15","1"
"16","16","2","16","1"
"17","17","2","17","1"
"18","18","2","18","1"
"19","19","2","19","2"
"20","20","2","20","2"
"21","21","2","21","2"
"22","22","2","22","2"
"23","23","2","23","2"
"24","24","2","24","2"
"25","25","2","25","2"
"26","26","2","26","2"
"27","27","2","27","2"
"28","28","2","28","2"
"29","29","2","14","3"
"30","30","2","13","3"
"31","31","2","12","3"
"32","32","2","11","3"
"33","33","2","10","3"
"34","34","2","9","3"
"35","35","2","8","3"
"36","36","2","7","3"
"37","37","2","6","3"
"38","38","2","5","3"
"39","39","2","4","3"
"40","40","2","3","3"
"41","41","2","2","3"
"42","42","2","1","3"
"43","43","1000","1003","1"
"44","44","1000","1002","1"
"45","45","1000","1001","1"
"46","46","1000","1000","1"
"47","47","1000","2003","2"
