"Name","ComposeListID","RewardRate","RewardItemID","RewardItemCount"
"1","1010002","100000","903200002","1"
"2","1020002","100000","903200001","1"
"4","1010003","100000","903200003","1"
"5","1020003","100000","903200002","1"
"7","1010004","100000","903200004","1"
"8","1020004","100000","903200003","1"
"10","2010002","100000","904200002","1"
"11","2020002","100000","904200001","1"
"13","2010003","100000","904200003","1"
"14","2020003","100000","904200002","1"
"16","2010004","100000","904200004","1"
"17","2020004","100000","904200003","1"
"19","3010002","100000","905200002","1"
"20","3020002","100000","905200001","1"
"22","3010003","100000","905200003","1"
"23","3020003","100000","905200002","1"
"25","3010004","100000","905200004","1"
"26","3020004","100000","905200003","1"
"28","4010002","7696","1701200015","1"
"29","4010002","7692","1701200007","1"
"30","4010002","7692","1701200012","1"
"31","4010002","7692","1701200025","1"
"32","4010002","7692","1701200009","1"
"33","4010002","7692","1701200032","1"
"34","4010002","7692","1701200033","1"
"35","4010002","7692","1701200004","1"
"36","4010002","7692","1701200020","1"
"37","4010002","7692","1701200022","1"
"38","4010002","7692","1701200030","1"
"39","4010002","7692","1701200013","1"
"40","4010002","7692","1701200019","1"
"41","4020002","8337","1701200018","1"
"42","4020002","8333","1701200014","1"
"43","4020002","8333","1701200006","1"
"44","4020002","8333","1701200005","1"
"45","4020002","8333","1701200003","1"
"46","4020002","8333","1701200011","1"
"47","4020002","8333","1701200016","1"
"48","4020002","8333","1701200008","1"
"49","4020002","8333","1701200002","1"
"50","4020002","8333","1701200001","1"
"51","4020002","8333","1701200010","1"
"52","4020002","8333","1701200023","1"
"70","4010003","4546","1701200026","1"
"71","4010003","4546","1701200027","1"
"72","4010003","4546","1701200028","1"
"73","4010003","4546","1701200029","1"
"74","4010003","4546","1701200034","1"
"75","4010003","4546","1701200035","1"
"76","4010003","4546","1701200021","1"
"77","4010003","4546","1701200037","1"
"78","4010003","4546","1701200038","1"
"79","4010003","4546","1701200039","1"
"80","4010003","4545","1701200044","1"
"81","4010003","4545","1701200045","1"
"82","4010003","4545","1701200047","1"
"83","4010003","4545","1701200050","1"
"84","4010003","4545","1701200048","1"
"85","4010003","4545","1701200052","1"
"86","4010003","4545","1701200054","1"
"87","4010003","4545","1701200055","1"
"88","4010003","4545","1701200056","1"
"89","4010003","4545","1701200058","1"
"90","4010003","4545","1701200060","1"
"91","4010003","4545","1701200062","1"
"92","4020003","7696","1701200015","1"
"93","4020003","7692","1701200007","1"
"94","4020003","7692","1701200012","1"
"95","4020003","7692","1701200025","1"
"96","4020003","7692","1701200009","1"
"97","4020003","7692","1701200032","1"
"98","4020003","7692","1701200033","1"
"99","4020003","7692","1701200004","1"
"100","4020003","7692","1701200020","1"
"101","4020003","7692","1701200022","1"
