"Name","QuestId","QuestLevel","QuestTitle","StepNo","QuestMission","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","109200100","146","설천군의 위기","1","사부님께 이동","0","0","","200","0","1","90","(0,0,0,0,0)","0","0","109001040","","(X=-22140.000000,Y=-11230.000000,Z=90.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1092001","2092001","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"2","109200110","146","설천군의 위기","1","사부님께 이동","CAMERASET 100 -15 900 0/NPCSHOW 9103 (-22452,-10363,183,-86)/NPCSHOW 9101 (-22673,-10401,171,33)","0","","100","0","1","200","(0,0,0,0,0)","0","0","109001040","","(X=-22150.000000,Y=-10540.000000,Z=90.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1092001","2092001","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","0","146","설천군의 위기","2","마물 제거하기","FADE 1 0 3/HUDHIDE/CAMERAFOCUS (-22574,-11270,480) (-11,57,0) 0 5 (-22198,-10700,1298) (-25,49,0) 1 1/CAMERASET 34 -15 900 0/DELAY 2/SMALLTALK 109200100/DELAY 2/HUDSHOW","0","","1","0","1","0","(0,0,0,0,0)","0","0","109001040","","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1092001","2092002","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"4","109200200","146","설천군의 위기","2","마물 제거하기","NPCSHOW 9103 (-22452,-10363,183,-86)/NPCSHOW 9101 (-22673,-10401,171,33)","0","","8200","1","50","0","(0,0,0,0,0)","1","0","109001040","","(X=-19526.000000,Y=-7838.000000,Z=105.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","8000","1092001","2092002","283820","48172","0","0","(517200412,517200412,517200412,517200412,517200412,517200412)","1","(701200203,701200203,701200203,701200203,701200203,701200203)","15","0"
"5","109200300","146","설천군의 위기","3","사부님과 대화","NPCSHOW 9101 (-22532,-10487,183,53)/NPCSHOW 9103 (-22670,-10189,183,33)","CINEMATIC 109200100/CUTSCENEDELAY/NPCRUN 9101 (-19270,-12996,811,13) 2 10/NPCRUN 9103 (-19408,-12698,811,-26) 2 10","","11","9101","1","0","(0,0,0,0,0)","0","0","109001040","","(X=-22673.000000,Y=-10401.000000,Z=171.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1092001","2092003","202730","25828","0","0","(902200203,902200203,902200203,902200203,902200203,902200203)","15","(604200104,604200104,604200104,604200104,604200104,604200104)","15","0"
"6","109200400","146","설천군의 위기","4","주둔지 살펴보기","SMALLTALK 109200200/NPCSHOW 9106 (-22105,-1392,-637,50)","0","","100","0","1","200","(0,0,0,0,0)","0","0","109001040","","(X=-18788.000000,Y=-1036.000000,Z=-605.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1092001","2092004","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"7","0","146","설천군의 위기","4","주둔지 살펴보기","HUDHIDE/CAMERAFOCUS (-18172,-432,-360) (-9,-158,0) 0 3 (-20790,-1178,-234) (-17,-168,0) 1 2/DELAY 6/HUDSHOW","0","","1","0","1","0","(0,0,0,0,0)","0","0","109001040","","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1092001","2092004","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"8","109200500","146","설천군의 위기","5","다친 병사와 대화","NPCSHOW 9106 (-22105,-1392,-637,50)","CINEMATIC 109200200/NPCHIDE 9106/CUTSCENEDELAY/SMALLTALK 109200300","","12","9106","1","0","(0,0,0,0,0)","0","0","109001040","","(X=-21917.000000,Y=-1240.000000,Z=-727.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1092001","2092005","202730","25828","0","0","(901200304,901200304,901200304,901200304,901200304,901200304)","15","(621200001,621200001,621200001,621200001,621200001,621200001)","8","0"
"9","109200600","146","설천군의 위기","6","협곡 돈귀 무리 처치","0","SMALLTALK 109200310","","8200","1","50","0","(0,0,0,0,0)","1","0","109001040","","(X=-19254.000000,Y=1421.000000,Z=-727.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","8000","1092001","2092006","283820","48172","0","0","(517200410,517200410,517200410,517200410,517200410,517200410)","1","(701200403,701200403,701200403,701200403,701200403,701200403)","8","0"
"10","109200610","146","설천군의 위기","7","주둔지 살펴보기","0","SMALLTALK 109200320","","100","0","1","200","(0,0,0,0,0)","0","0","109001040","","(X=-20260.000000,Y=10305.000000,Z=-1569.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1092001","2092007","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"11","109200620","146","설천군의 위기","8","마물 처치하기","0","0","","8200","2","50","0","(0,0,0,0,0)","1","0","109001040","","(X=-18383.000000,Y=8615.000000,Z=-1569.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","8000","1092001","2092008","283820","48172","0","0","(901200104,901200104,901200104,901200104,901200104,901200104)","15","(605200104,605200104,605200104,605200104,605200104,605200104)","15","0"
"12","109200630","146","설천군의 위기","9","주둔지 살펴보기","0","0","","100","0","1","200","(0,0,0,0,0)","0","0","109001040","","(X=-16380.000000,Y=5690.000000,Z=-1570.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1092001","2092007","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"13","0","146","설천군의 위기","10","오셰르와 대화","HUDHIDE/CAMERAFOCUS (-15299,5695,-1161) (12,0,0) 0 1 (-16073,5695,-1337) (12,0,0) 2 2/CAMERASET 0 -15 700 0/SMALLTALK 109200400/NPCSHOW 9102 (-14560,5694,-1029,-179)/NPCRUN 9102 (-15500,5694,-1309,-179) 2/DELAY 5/HUDSHOW","0","","1","0","1","0","(0,0,0,0,0)","0","0","109001040","","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1092001","2092009","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"14","109200700","146","설천군의 위기","10","오셰르와 대화","0","CINEMATIC 109200300/CUTSCENEDELAY/HUDHIDE/SMALLTALK 109200500/NPCRUN 9102 (-14560,5512,-1029,30) 2/DELAY 5/HUDSHOW","","11","9102","1","0","(0,0,0,0,0)","0","0","109001040","","(X=-15500.000000,Y=5694.000000,Z=-1309.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1092001","2092010","202730","25828","0","0","(902200302,902200302,902200302,902200302,902200302,902200302)","15","(605200104,605200104,605200104,605200104,605200104,605200104)","15","0"
