"Name","Id","GroupId","GroupGrade","GroupType","Icon","Order","Title","Description","EventDataId","CompleteCount","CompleteCountAccrue","MissionPoint","ImmediateType","ImmediateId","Value","ContentId"
"100000001","100000001","1001","1","1","0","1","2210008","2200608","300001","100000","100000","100","1","4","50","0"
"100000002","100000002","1001","1","1","0","2","2210009","2200609","300002","100","100","100","1","4","50","4000"
"100000003","100000003","1001","1","1","0","3","2210010","2200610","300003","500","500","100","1","4","50","0"
"100000004","100000004","1001","1","1","0","4","2210011","2200611","300004","500","500","100","1","4","50","0"
"100000005","100000005","1001","1","1","0","5","2210012","2200612","300005","500","500","100","1","4","50","0"
"100000006","100000006","1001","1","1","0","6","2210013","2200613","300006","1000","1000","100","1","4","50","0"
"100000007","100000007","1001","1","1","0","7","2210014","2200614","300007","10","10","100","1","4","50","1700"
"100000008","100000008","1001","1","1","0","8","2210015","2200615","300008","10","10","100","1","4","50","1800"
"100000009","100000009","1001","1","1","0","9","2210016","2200616","300009","100","100","100","1","4","50","0"
"100000010","100000010","1001","1","1","0","10","2210017","2200617","300010","100","100","100","1","4","50","2400"
"100000011","100000011","1002","1","1","0","1","2210018","2200618","300011","50000","50000","100","1","4","50","0"
"100000012","100000012","1002","1","1","0","2","2210019","2200619","300012","500","500","100","1","4","50","0"
"100000013","100000013","1002","1","1","0","3","2210020","2200620","300013","50","50","100","1","4","50","0"
"100000014","100000014","1002","1","1","0","4","2210021","2200621","300014","5","5","100","1","4","50","3200"
"100000015","100000015","1002","1","1","0","5","2210022","2200622","300015","5","5","100","1","4","50","4800"
"100000016","100000016","1002","1","1","0","6","2210023","2200623","300016","10","10","100","1","4","50","5900"
"100000017","100000017","1002","1","1","0","7","2210024","2200624","300017","10","10","100","1","4","50","3320"
"100000018","100000018","1002","1","1","0","8","2210025","2200625","300018","5","5","100","1","4","50","2000"
"100000019","100000019","1002","1","1","0","9","2210026","2200626","300019","100","100","100","1","4","50","2820"
"100000020","100000020","1002","1","1","0","10","2210027","2200627","300020","20","20","100","1","4","50","3370"
"100000021","100000021","1003","1","1","0","1","2210028","2200628","300021","500","500","100","1","4","50","2860"
"100000022","100000022","1003","1","1","0","2","2210029","2200629","300022","5","5","100","1","4","50","0"
"100000023","100000023","1003","1","1","0","3","2210030","2200630","300023","5","5","100","1","4","50","3100"
"100000024","100000024","1003","1","1","0","4","2210031","2200631","300024","5","5","100","1","4","50","4900"
"100000025","100000025","1003","1","1","0","5","2210032","2200632","300025","5","5","100","1","4","50","3340"
"100000026","100000026","1003","1","1","0","6","2210033","2200633","300026","10","10","100","1","4","50","5900"
"100000027","100000027","1003","1","1","0","7","2210034","2200634","300027","50","50","100","1","4","50","2400"
"100000028","100000028","1003","1","1","0","8","2210035","2200635","300028","5","5","100","1","4","50","3380"
"100000029","100000029","1003","1","1","0","9","2210036","2200636","300029","50","50","100","1","4","50","2400"
"100000030","100000030","1003","1","1","0","10","2210037","2200637","300030","50","50","100","1","4","50","2400"
"100010001","100010001","2001","2","2","0","1","2210008","2200608","300001","50000","50000","100","0","4","50","0"
"100010002","100010002","2001","2","2","0","2","2210009","2200609","300002","50","50","100","0","4","50","4000"
"100010003","100010003","2001","2","2","0","3","2210010","2200610","300003","250","250","100","0","4","50","0"
"100010004","100010004","2001","2","2","0","4","2210011","2200611","300004","250","250","100","0","4","50","0"
"100010005","100010005","2001","2","2","0","5","2210012","2200612","300005","250","250","100","0","4","50","0"
"100010006","100010006","2001","2","2","0","6","2210013","2200613","300006","500","500","100","0","4","50","0"
"100010007","100010007","2001","2","2","0","7","2210014","2200614","300007","5","5","100","0","4","50","1700"
"100010008","100010008","2001","2","2","0","8","2210015","2200615","300008","5","5","100","0","4","50","1800"
"100010009","100010009","2001","2","2","0","9","2210016","2200616","300009","50","50","100","0","4","50","0"
"100010010","100010010","2001","2","2","0","10","2210017","2200617","300010","50","50","100","0","4","50","2400"
"100010011","100010011","2002","2","2","0","1","2210018","2200618","300011","25000","25000","100","0","4","50","0"
"100010012","100010012","2002","2","2","0","2","2210019","2200619","300012","250","250","100","0","4","50","0"
"100010013","100010013","2002","2","2","0","3","2210020","2200620","300013","25","25","100","0","4","50","0"
"100010014","100010014","2002","2","2","0","4","2210021","2200621","300014","3","3","100","0","4","50","3200"
"100010015","100010015","2002","2","2","0","5","2210022","2200622","300015","3","3","100","0","4","50","4800"
"100010016","100010016","2002","2","2","0","6","2210023","2200623","300016","5","5","100","0","4","50","5900"
"100010017","100010017","2002","2","2","0","7","2210024","2200624","300017","5","5","100","0","4","50","3320"
"100010018","100010018","2002","2","2","0","8","2210025","2200625","300018","3","3","100","0","4","50","2000"
"100010019","100010019","2002","2","2","0","9","2210026","2200626","300019","50","50","100","0","4","50","2820"
"100010020","100010020","2002","2","2","0","10","2210027","2200627","300020","10","10","100","0","4","50","3370"
"100010021","100010021","2003","2","2","0","1","2210028","2200628","300021","250","250","100","0","4","50","2860"
"100010022","100010022","2003","2","2","0","2","2210029","2200629","300022","3","3","100","0","4","50","0"
"100010023","100010023","2003","2","2","0","3","2210030","2200630","300023","3","3","100","0","4","50","3100"
"100010024","100010024","2003","2","2","0","4","2210031","2200631","300024","3","3","100","0","4","50","4900"
"100010025","100010025","2003","2","2","0","5","2210032","2200632","300025","3","3","100","0","4","50","3340"
"100010026","100010026","2003","2","2","0","6","2210033","2200633","300026","5","5","100","0","4","50","5900"
"100010027","100010027","2003","2","2","0","7","2210034","2200634","300027","25","25","100","0","4","50","2400"
"100010028","100010028","2003","2","2","0","8","2210035","2200635","300028","3","3","100","0","4","50","3380"
"100010029","100010029","2003","2","2","0","9","2210036","2200636","300029","25","25","100","0","4","50","2400"
"100010030","100010030","2003","2","2","0","10","2210037","2200637","300030","25","25","100","0","4","50","2400"
"100040001","100040001","12001","1","12","0","1","2210010","2200610","300033","500","500","100","1","4","50","0"
"100040002","100040002","12001","1","12","0","2","2210011","2200611","300036","500","500","100","1","4","50","0"
"100040003","100040003","12001","1","12","0","3","2210012","2200612","300039","500","500","100","1","4","50","0"
"100040004","100040004","12001","1","12","0","4","2210008","2200608","300001","100000","100000","100","1","4","50","0"
"100040005","100040005","12001","1","12","0","5","2210009","2200609","300002","100","100","100","1","4","50","4000"
"100040006","100040006","12001","1","12","0","6","2210013","2200613","300006","1000","1000","100","1","4","50","0"
"100040007","100040007","12001","1","12","0","7","2210038","2200638","300032","2","2","100","1","4","50","2851"
"100040008","100040008","12001","1","12","0","8","2210039","2200639","300031","50","50","100","1","4","50","3600"
"100040009","100040009","12001","1","12","0","9","2210016","2200616","300009","100","100","100","1","4","50","0"
"100040010","100040010","12001","1","12","0","10","2210017","2200617","300010","100","100","100","1","4","50","2400"
"100040011","100040011","12002","1","12","0","1","2210010","2200610","300034","1000","1000","100","1","4","50","0"
"100040012","100040012","12002","1","12","0","2","2210011","2200611","300037","1000","1000","100","1","4","50","0"
"100040013","100040013","12002","1","12","0","3","2210012","2200612","300040","1000","1000","100","1","4","50","0"
"100040014","100040014","12002","1","12","0","4","2210021","2200621","300014","5","5","100","1","4","50","3200"
"100040015","100040015","12002","1","12","0","5","2210022","2200622","300015","5","5","100","1","4","50","4800"
"100040016","100040016","12002","1","12","0","6","2210023","2200623","300016","10","10","100","1","4","50","5900"
"100040017","100040017","12002","1","12","0","7","2210018","2200618","300011","50000","50000","100","1","4","50","0"
"100040018","100040018","12002","1","12","0","8","2210025","2200625","300018","5","5","100","1","4","50","2000"
"100040019","100040019","12002","1","12","0","9","2210026","2200626","300019","100","100","100","1","4","50","2820"
"100040020","100040020","12002","1","12","0","10","2210027","2200627","300020","20","20","100","1","4","50","3370"
"100040021","100040021","12003","1","12","0","1","2210010","2200610","300035","1500","1500","100","1","4","50","0"
"100040022","100040022","12003","1","12","0","2","2210011","2200611","300038","1500","1500","100","1","4","50","0"
"100040023","100040023","12003","1","12","0","3","2210012","2200612","300041","1500","1500","100","1","4","50","0"
"100040024","100040024","12003","1","12","0","4","2210031","2200631","300024","5","5","100","1","4","50","4900"
"100040025","100040025","12003","1","12","0","5","2210032","2200632","300025","5","5","100","1","4","50","3340"
"100040026","100040026","12003","1","12","0","6","2210033","2200633","300026","10","10","100","1","4","50","5900"
"100040027","100040027","12003","1","12","0","7","2210034","2200634","300027","50","50","100","1","4","50","2400"
"100040028","100040028","12003","1","12","0","8","2210030","2200630","300023","5","5","100","1","4","50","3100"
"100040029","100040029","12003","1","12","0","9","2210036","2200636","300029","50","50","100","1","4","50","2400"
"100040030","100040030","12003","1","12","0","10","2210037","2200637","300030","50","50","100","1","4","50","2400"
