"Name","QuestId","QuestLevel","QuestTitle","StepNo","QuestMission","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","202200010","177","변해버린 뱀골","1","뱀골로 가기","0","SMALLTALK 111201000","","100","0","1","1000","(0,0,0,0,0,0)","0","0","110502010","","(X=-17436.617188,Y=10983.091797,Z=736.300903)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110502001","210502001","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"2","202200020","177","변해버린 뱀골","2","뱀골촌으로 가기","0","HUDHIDE/FADE 0 1 1/DELAY 1/FADE 1 0 0.5/CAMERAFOCUS (-4927,9752,-524) (8,102,0) 2 3 (-6502,9510,368) (-20,2,0) 3 0/SMALLTALK 111202000/DELAY 8/HUDSHOW","","100","0","1","150","(0,0,0,0,0,0)","0","1","110502010","","(X=-9083.875000,Y=8277.382813,Z=-117.053162)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110502001","210502002","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","202200030","177","변해버린 뱀골","3","뱀골촌의 진압대 소탕","0","SMALLTALK 111203000","","8250","1","50","100000","(0,0,0,0,0,0)","1","0","110502010","","(X=-3207.479736,Y=9157.945313,Z=-726.326172)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","1750","3200","110502001","210502003","383620","77464","0","0","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(1301201588,1301201588,1301201588,1301201588,1301201588,1301201588)","10","0"
"4","202200040","177","변해버린 뱀골","4","피난처 찾기","0","0","","100","0","1","150","(0,0,0,0,0,0)","0","0","110502010","","(X=5767.963379,Y=7451.217285,Z=-303.862305)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110502001","210502004","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"5","202200050","177","변해버린 뱀골","5","혈백단 소탕","0","0","","8250","2","50","100000","(0,0,0,0,0,0)","1","0","110502010","","(X=8755.516602,Y=5369.644531,Z=37.179688)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","2500","5000","110502001","210502005","383620","77464","0","0","(501200050,501200050,501200050,501200050,501200050,501200050)","1","(604200305,604200305,604200305,604200305,604200305,604200305)","2","0"
"6","202200060","177","변해버린 뱀골","6","피난처 찾기","0","HUDHIDE/CAMERAFOCUS (12829,-1849,826) (9,-17,0) 2 2 (12243,-1311,580) (0,-9,0) 2 0/SMALLTALK 111206000/DELAY 6/HUDSHOW","","100","0","1","150","(0,0,0,0,0,0)","0","0","110502010","","(X=12590.921875,Y=-1219.123779,Z=456.193054)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110502001","210502006","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"7","202200070","177","뱀골 피난처","1","공격하는 백귀 처치","0","DELAY 2/HUDHIDE/FADE 0 1 1/SEQUENCE 11000500/CUTSCENEDELAY/HUDSHOW","","8050","402011010","1","100000","(0,0,0,0,0,0)","0","1","110502010","","(X=12590.921875,Y=-1219.123779,Z=456.193054)","(X=0,Y=0,Z=0)","0","0","0","0","0","310502060","0","1500","2500","110502002","210502007","511480","105465","0","0","(701200204,701200204,701200204,701200204,701200204,701200204)","5","(502920002,502920002,502920002,502920002,502920002,502920002)","1","0"
"8","202200080","177","뱀골 피난처","2","촌장과 대화","NPCSHOW 2002010 (13796,-2207,671,176)/NPCSHOW 2002011 (13958,-2086,692,176)/NPCSHOW 2002012 (13958,-2319,688,176)","CINEMATIC 111200100/CUTSCENEDELAY/NPCHIDE 2002010/NPCHIDE 2002011/NPCHIDE 2002012","","11","2002010","1","0","(0,0,0,0,0,0)","0","0","110502010","","(X=13761.009766,Y=-2211.924316,Z=563.709656)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110502002","210502008","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"9","202200090","177","뱀골 피난처","3","무백 장군과 대화","NPCSHOW 2002310 (17528,-11589,590,176)","CINEMATIC 111200200/PCWARP (17513,-11586,690,47)/CUTSCENEDELAY","","11","2002020","1","0","(0,0,0,0,0,0)","0","0","110502010","","(X=15321.095703,Y=-9373.096680,Z=551.300659)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110502002","210502009","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"10","0","177","뱀골 피난처","4","무백의 처분 기다리기","HUDHIDE/NPCSHOW 2002605 (16775,-11147,634,162)/NPCSHOW 2002606 (16863,-10901,634,142)/NPCSHOW 2002030 (18575,-10840,1579,-174)/FADE 1 0 4/CAMERAFOCUS (16893,-12024,1112) (-27,57,0) 10 0/DELAY 5/SMALLTALK 111210000/DELAY 4/FADE 1 0 1/CAMERAFOCUS (18709,-10400,2278) (-52,-135,0) 2 2 (17261,-10550,1060) (-34,-102,0) 15 0/DELAY 1/NPCJUMP 2002030 (16980,-11078,644,163)/DELAY 2/NPCBB 2002605 3 3 1091013/DELAY 2/NPCHIDE 2002605/NPCHIDE 2002606/FADE 1 0 2/NPCSHOW 2002607 (16775,-11147,634,162)/NPCSHOW 2002608 (16863,-10901,634,142)/NPCBB 2002607 3 3 1091014/CAMERAFOCUS (16893,-12024,1112) (-27,57,0) 10 5/DELAY 2/NPCRUN 2002030 (17330,-11584,680,1) 1/DELAY 3/SMALLTALK 111211000/NPCHIDE 2002310/NPCSHOW 2002311 (17528,-11589,590,176)/DELAY 1/NPCJUMP 2002030 (16691,-13504,489,-102)/SMALLTALK 111211100/DELAY 2/HUDSHOW","0","","1","0","1","0","(0,0,0,0,0)","0","0","110502010","","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110502002","210502010","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
