"Name","QuestId","QuestLevel","StepNo","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","105100100","67","1","NPCSHOW 1002 (4272,5165,2750,-107)/NPCSHOW 1026 (4360,5040,2750,-154)/NPCSHOW 1003 (3916,5006,2755,-63)/NPCSHOW 2010 (4024,5205,2810,-169)","CINEMATIC 105100100/NPCHIDE 2010/NPCSHOW 2003 (4374,5280,2760,-127)/CUTSCENEDELAY/NPCRUN 1002 (-1638,3855,1640,-123) 2 8/NPCRUN 1026 (-1460,4170,1640,-114) 2 8/NPCRUN 2003 (-1306,3955,1640,-118) 2 8/NPCRUN 1003 (-1154,4286,1705,-124) 2 8","","11","1002","1","0","(0,0,0,0,0)","0","0","105001010","","(X=4200.199707,Y=5040.710449,Z=2748.488525)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051001","2001005","29150","3094","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"2","105100200","67","2","0","CINEMATIC 105100200/NPCHIDE 3722/CUTSCENEDELAY","","11","3722","1","0","(0,0,0,0,0)","0","0","105001010","","(X=-2256.000000,Y=-6920.000000,Z=2195.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051001","2051002","29150","3094","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","105100300","67","3","NPCSHOW 1002 (6000,-13340,210,-135)/NPCSHOW 2003 (6250,-13520,200,-157)/NPCSHOW 1003 (5814,-13643,200,195)/NPCSHOW 1026 (5860,-13720,200,167)","CINEMATIC 105100300/CUTSCENEDELAY/SMALLTALK 105100300/NPCSHOW 1026 (5860,-13720,200,167)/NPCRUN 1026 (6287,-12606,200,-126) 2","","100","0","1","200","(0,0,0,0,0)","0","0","105001020","","(X=5665.498047,Y=-13547.344727,Z=229.729767)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051001","2042018","29150","3094","0","0","(901200203,901200203,901200203,901200203,901200203,901200203)","4","(0,0,0,0,0,0)","0","0"
"4","105100350","67","4","0","CINEMATIC 105100350/CUTSCENEDELAY","","11","1026","1","0","(0,0,0,0,0)","0","0","105001020","","(X=6287.000000,Y=-12606.000000,Z=200.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051001","2042024","29150","3094","0","0","(901200203,901200203,901200203,901200203,901200203,901200203)","4","(0,0,0,0,0,0)","0","0"
"5","105100400","67","5","0","NPCSHOW 1026 (6060,-12100,200,106)/NPCRUN 1026 (5250,-13340,200,-73) 3","","9100","110001001","3","0","(0,0,0,0,0)","1","0","105001020","","(X=8690.000000,Y=-8380.000000,Z=100.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051001","2051005","34000","4574","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"6","105100800","67","6","NPCSHOW 1002 (6000,-13340,210,-135)/NPCSHOW 1003 (5814,-13643,200,195)/NPCSHOW 2003 (6250,-13520,200,-157)/NPCSHOW 1026 (5250,-13340,200,-73)","CINEMATIC 105100800/CUTSCENEDELAY/NPCRUN 1002 (3140,-13204,-236,-125) 2/NPCRUN 1003 (3079,-13849,-236,143) 2/NPCRUN 2003 (3289,-12988,-236,-210) 2/NPCRUN 1026 (3251,-13675,-236,-201) 2","","12","7010085","1","0","(0,0,0,0,0)","0","0","105001020","","(X=5417.157227,Y=-13525.215820,Z=229.121048)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051001","2051006","29150","3094","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"7","105100850","67","7","0","0","","5900","7801","10","0","(0,0,0,0,0)","0","0","0","","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","5400","0","0","0","0","1051001","2051051","38860","6054","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"8","105100860","67","8","NPCSHOW 1002 (3140,-13204,-236,-125)/NPCSHOW 1003 (3079,-13849,-236,143)/NPCSHOW 2003 (3289,-12988,-236,-210)/NPCSHOW 1026 (3251,-13675,-236,-201)","CINEMATIC 105100860/CUTSCENEDELAY","","12","7010183","1","0","(0,0,0,0,0)","0","0","105001020","","(X=2925.000000,Y=-13570.000000,Z=-340.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051001","2051007","29150","3094","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"9","105100900","67","1","0","0","","200","0","1","143","(0,0,0,0,0)","0","0","105002010","","(X=20150.000000,Y=4470.000000,Z=23.000015)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051002","2051007","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"10","0","67","1","0","0","","100","0","1","1000","(0,0,0,0,0)","0","0","105002010","","(X=20150.000000,Y=4470.000000,Z=23.000015)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051002","2051007","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"11","105101000","70","1","NPCSHOW 1002 (19890,4385,35,109)/NPCSHOW 2003 (20870,4555,-100,-175)/NPCSHOW 1026 (20815,4755,-90,-161)/NPCSHOW 3723 (15530,2745,70,-46)","CINEMATIC 105101000/CUTSCENEDELAY","","11","7010184","1","0","(0,0,0,0,0)","0","0","105002010","","(X=19755.000000,Y=4775.000000,Z=25.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1051002","2051007","40290","3100","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"12","105101050","70","2","NPCSHOW 1007 (18278,1729,54,-38)","SMALLTALK 105101100","","100","0","1","200","(0,0,0,0,0)","0","0","105002010","","(X=18457.000000,Y=2817.000000,Z=-41.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1051002","2051008","0","0","0","0","(604200104,604200104,604200104,604200104,604200104,604200104)","4","(605200104,605200104,605200104,605200104,605200104,605200104)","4","0"
