"Name","Exchange_Result_Id","Exchange_Result_Class","Exchange_Result_Item_Group_Id","Result_Item_Id","Result_Item_Desc"
"1","1","0","101","200201018","12000008"
"2","2","0","101","200201019","12000009"
"3","3","0","101","200202018","12000008"
"4","4","0","101","200202019","12000009"
"5","5","0","101","200203018","12000008"
"6","6","0","101","200203019","12000009"
"7","7","0","101","200204018","12000008"
"8","8","0","101","200204019","12000009"
"9","9","0","101","200205018","12000008"
"10","10","0","101","200205019","12000009"
"11","11","0","101","200206018","12000008"
"12","12","0","101","200206019","12000009"
"13","13","0","102","200201020","12000008"
"14","14","0","102","200201021","12000009"
"15","15","0","102","200202020","12000008"
"16","16","0","102","200202021","12000009"
"17","17","0","102","200203020","12000008"
"18","18","0","102","200203021","12000009"
"19","19","0","102","200204020","12000008"
"20","20","0","102","200204021","12000009"
"21","21","0","102","200205020","12000008"
"22","22","0","102","200205021","12000009"
"23","23","0","102","200206020","12000008"
"24","24","0","102","200206021","12000009"
"25","25","0","103","200201022","12000008"
"26","26","0","103","200201023","12000009"
"27","27","0","103","200202022","12000008"
"28","28","0","103","200202023","12000009"
"29","29","0","103","200203022","12000008"
"30","30","0","103","200203023","12000009"
"31","31","0","103","200204022","12000008"
"32","32","0","103","200204023","12000009"
"33","33","0","103","200205022","12000008"
"34","34","0","103","200205023","12000009"
"35","35","0","103","200206022","12000008"
"36","36","0","103","200206023","12000009"
"37","37","0","104","200201024","12000008"
"38","38","0","104","200201025","12000009"
"39","39","0","104","200202024","12000008"
"40","40","0","104","200202025","12000009"
"41","41","0","104","200203024","12000008"
"42","42","0","104","200203025","12000009"
"43","43","0","104","200204024","12000008"
"44","44","0","104","200204025","12000009"
"45","45","0","104","200205024","12000008"
"46","46","0","104","200205025","12000009"
"47","47","0","104","200206024","12000008"
"48","48","0","104","200206025","12000009"
"49","49","0","105","200201026","12000008"
"50","50","0","105","200202026","12000008"
"51","51","0","105","200203026","12000008"
"52","52","0","105","200204026","12000008"
"53","53","0","105","200205026","12000008"
"54","54","0","105","200206026","12000008"
"55","55","0","106","200201027","12000008"
"56","56","0","106","200202027","12000008"
"57","57","0","106","200203027","12000008"
"58","58","0","106","200204027","12000008"
"59","59","0","106","200205027","12000008"
"60","60","0","106","200206027","12000008"
"61","61","0","107","200201028","12000008"
"62","62","0","107","200202028","12000008"
"63","63","0","107","200203028","12000008"
"64","64","0","107","200204028","12000008"
"65","65","0","107","200205028","12000008"
"66","66","0","107","200206028","12000008"
"67","67","0","108","200201029","12000008"
"68","68","0","108","200202029","12000008"
"69","69","0","108","200203029","12000008"
"70","70","0","108","200204029","12000008"
"71","71","0","108","200205029","12000008"
"72","72","0","108","200206029","12000008"
"73","73","0","201","201201016","12000008"
"74","74","0","201","201201017","12000009"
"75","75","0","201","201202016","12000008"
"76","76","0","201","201202017","12000009"
"77","77","0","201","201203016","12000008"
"78","78","0","201","201203017","12000009"
"79","79","0","201","201204016","12000008"
"80","80","0","201","201204017","12000009"
"81","81","0","201","201205016","12000008"
"82","82","0","201","201205017","12000009"
"83","83","0","201","201206016","12000008"
"84","84","0","201","201206017","12000009"
"85","85","0","202","201201018","12000008"
"86","86","0","202","201201019","12000009"
"87","87","0","202","201202018","12000008"
"88","88","0","202","201202019","12000009"
