"Name","StageId","Timer1StringTemplateID","Timer1Time","Timer1UIshow","Timer1UIshowTime","Timer2StringTemplateID","Timer2Time","Timer2UIshow","Timer2UIshowTime","Timer3StringTemplateID","Timer3Time","Timer3UIshow","Timer3UIshowTime","Timer4StringTemplateID","Timer4Time","Timer4UIshow","Timer4UIshowTime","BossAppearCutsceneID","BossAppearTrackerTitleID","BossAppearTrackerContentID","BossAppearMessageTitleID","BossAppearMessageContentID","BossAppearPlayer1WarpXYZ","BossAppearPlayer1WarpDirection","BossAppearPlayer2WarpXYZ","BossAppearPlayer2WarpDirection","BossAppearPlayer3WarpXYZ","BossAppearPlayer3WarpDirection","BossAppearPlayer4WarpXYZ","BossAppearPlayer4WarpDirection","BossAppearPlayer5WarpXYZ","BossAppearPlayer5WarpDirection","BossKillCutsceneID","BossKillTrackerTitleID","BossKillTrackerContentID","BossKillMessageTitleID","BossKillMessageContentID"
"200300000","200300000","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251006","0","0","0","0"
"200501910","200501910","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251069","0","0","0","0"
"200501920","200501920","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251028","0","0","0","0"
"200501930","200501930","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251081","0","0","0","0"
"200601010","200601010","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251061","0","0","0","0"
"200601020","200601020","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251065","0","0","0","0"
"200601040","200601040","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251039","0","0","0","0"
"200601150","200601150","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251058","0","0","0","0"
"200601160","200601160","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251063","0","0","0","0"
"200601170","200601170","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251067","0","0","0","0"
"200501500","200501500","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251103","0","0","0","0"
"200501950","200501950","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251109","0","0","0","0"
"200251010","200251010","1211001","3600000","1","60000","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000201","0","0","0","0"
"200251020","200251020","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251056","0","0","0","0"
"200251030","200251030","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251055","0","0","0","0"
"200251660","200251660","1211001","3600000","1","0","1211001","3600000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200400201","200400201","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251035","1210250","1210403","0","0","(X=-15700.000000,Y=810.000000,Z=20.000000)","0","(X=-15200.000000,Y=810.000000,Z=20.000000)","9","(X=-16200.000000,Y=810.000000,Z=20.000000)","18","(X=-14700.000000,Y=810.000000,Z=20.000000)","-16","(X=-16700.000000,Y=810.000000,Z=20.000000)","-25","6251036","1210250","1210229","2400001","2400002"
"200400211","200400211","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251041","1210250","1210333","0","0","(X=-14270.000000,Y=-12990.000000,Z=1870.000000)","-100","(X=-13850.000000,Y=-12990.000000,Z=1870.000000)","-100","(X=-14760.000000,Y=-13020.000000,Z=1870.000000)","0","(X=-13310.000000,Y=-12980.000000,Z=1870.000000)","-100","(X=-15270.000000,Y=-13020.000000,Z=1870.000000)","-100","6251042","0","0","0","0"
"200400221","200400221","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251053","1210250","1210347","0","0","(X=2660.000000,Y=-4110.000000,Z=2210.000000)","-84","(X=2110.000000,Y=-4110.000000,Z=2210.000000)","-84","(X=3210.000000,Y=-4110.000000,Z=2210.000000)","-84","(X=1590.000000,Y=-4110.000000,Z=2210.000000)","-84","(X=3700.000000,Y=-4110.000000,Z=2210.000000)","-84","6251054","0","0","0","0"
"200400301","200400301","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251032","1210250","1210507","1210201","1210510","(X=-10.000000,Y=1980.000000,Z=970.000000)","-90","(X=-190.000000,Y=1990.000000,Z=970.000000)","-90","(X=170.000000,Y=1990.000000,Z=970.000000)","-90","(X=-360.000000,Y=2000.000000,Z=970.000000)","-90","(X=340.000000,Y=2000.000000,Z=970.000000)","-90","6251033","0","0","0","0"
"200400401","200400401","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251025","1210250","1210454","0","0","(X=22000.000000,Y=12080.000000,Z=860.000000)","-178","(X=22000.000000,Y=12660.000000,Z=910.000000)","-178","(X=22000.000000,Y=11560.000000,Z=1030.000000)","-178","(X=22000.000000,Y=13160.000000,Z=910.000000)","-178","(X=22000.000000,Y=11060.000000,Z=1110.000000)","-178","6251026","0","0","0","0"
"200400501","200400501","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251029","1210250","1210606","1210201","1220046","(X=10940.000000,Y=2190.000000,Z=1930.000000)","0","(X=11370.000000,Y=2190.000000,Z=1960.000000)","0","(X=10940.000000,Y=2610.000000,Z=1980.000000)","0","(X=10990.000000,Y=1810.000000,Z=1920.000000)","0","(X=10560.000000,Y=2280.000000,Z=1940.000000)","0","6251030","0","0","0","0"
"200501020","200501020","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251009","1210250","1210228","0","0","(X=-14440.000000,Y=7800.000000,Z=1450.000000)","0","(X=-14440.000000,Y=7800.000000,Z=1450.000000)","0","(X=-14440.000000,Y=7800.000000,Z=1450.000000)","0","(X=-14440.000000,Y=7800.000000,Z=1450.000000)","0","(X=-14440.000000,Y=7800.000000,Z=1450.000000)","0","6251010","0","0","0","0"
"200501040","200501040","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251050","1210250","1210857","1210201","1210702","(X=-700.000000,Y=4550.000000,Z=152.000000)","-20","(X=-650.000000,Y=4260.000000,Z=152.000000)","-20","(X=-520.000000,Y=4670.000000,Z=152.000000)","-20","(X=-980.000000,Y=4380.000000,Z=152.000000)","-20","(X=-790.000000,Y=4810.000000,Z=152.000000)","-20","6251051","0","0","0","0"
"200501051","200501051","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251047","0","0","0","0","(X=-4917.526855,Y=-6931.730469,Z=820.000000)","-95","(X=-5188.634277,Y=-6914.389648,Z=820.000000)","-95","(X=-4598.915039,Y=-6967.601563,Z=810.000000)","-95","(X=-5458.005371,Y=-6887.200684,Z=820.000000)","-95","(X=-4300.000000,Y=-7000.000000,Z=810.000000)","-95","6251048","0","0","0","0"
"200501100","200501100","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","3000701","0","0","0","0","(X=11560.000000,Y=-3960.000000,Z=6210.000000)","0","(X=11820.000000,Y=-4370.000000,Z=6210.000000)","0","(X=11820.000000,Y=-3550.000000,Z=6210.000000)","0","(X=11240.000000,Y=-4370.000000,Z=6210.000000)","0","(X=11240.000000,Y=-3550.000000,Z=6210.000000)","0","3000801","0","0","0","0"
"200501400","200501400","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251015","0","0","0","0","(X=2210.000000,Y=17460.000000,Z=1560.000000)","0","(X=2390.000000,Y=17120.000000,Z=1560.000000)","0","(X=2390.000000,Y=17730.000000,Z=1560.000000)","0","(X=2040.000000,Y=17120.000000,Z=1560.000000)","0","(X=2040.000000,Y=17730.000000,Z=1560.000000)","0","6251016","0","0","0","0"
"200601030","200601030","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251044","1210250","1210627","0","0","(X=17020.000000,Y=220.000000,Z=1030.000000)","0","(X=17020.000000,Y=-110.000000,Z=1030.000000)","0","(X=17340.000000,Y=300.000000,Z=1030.000000)","0","(X=16660.000000,Y=180.000000,Z=1030.000000)","0","(X=16960.000000,Y=560.000000,Z=1030.000000)","0","6251045","0","0","0","0"
"200400231","200400231","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251100","1210250","1210352","0","0","(X=-20.000000,Y=-15535.000000,Z=2695.000000)","-90","(X=-220.000000,Y=-15535.000000,Z=2695.000000)","-90","(X=-420.000000,Y=-15535.000000,Z=2695.000000)","-90","(X=180.000000,Y=-15535.000000,Z=2695.000000)","-90","(X=380.000000,Y=-15535.000000,Z=2695.000000)","-90","6251101","0","0","0","0"
"200501940","200501940","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","6251106","1210250","1210916","0","0","(X=1570.000000,Y=14750.000000,Z=92.000008)","180","(X=1670.000000,Y=14970.000000,Z=92.000008)","180","(X=1670.000000,Y=14530.000000,Z=92.000008)","180","(X=1450.000000,Y=15110.000000,Z=92.000008)","180","(X=1450.000000,Y=14400.000000,Z=92.000008)","180","6251107","0","0","0","0"
"200501960","200501960","1211001","3600000","1","0","1211001","7200000","1","0","1211002","300000","0","0","1211002","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6251112","0","0","0","0"
