"Name","RandomGetInfoId","ProbabilityRange1","StringId1","ProbabilityRange2","StringId2","ProbabilityRange3","StringId3","ProbabilityRange4","StringId4","ProbabilityRange5","StringId5"
"26","26","5600","1037102","100000","1037104","0","0","0","0","0","0"
"260","260","5600","1037102","100000","1037104","0","0","0","0","0","0"
"27","27","5600","1037102","100000","1037104","0","0","0","0","0","0"
"270","270","5600","1037102","100000","1037104","0","0","0","0","0","0"
"28","28","5600","1037102","100000","1037104","0","0","0","0","0","0"
"280","280","5600","1037102","100000","1037104","0","0","0","0","0","0"
"29","29","8300","1037102","100000","1037104","0","0","0","0","0","0"
"290","290","8300","1037102","100000","1037104","0","0","0","0","0","0"
"30","30","8300","1037102","100000","1037104","0","0","0","0","0","0"
"300","300","8300","1037102","100000","1037104","0","0","0","0","0","0"
"31","31","8300","1037102","100000","1037104","0","0","0","0","0","0"
"310","310","8300","1037102","100000","1037104","0","0","0","0","0","0"
"60208101","60208101","100000","1037103","0","0","0","0","0","0","0","0"
"60209104","60209104","1000","1037101","2000","1037102","10000","1037103","23000","1037104","100000","1037105"
"602091040","602091040","1000","1037101","2000","1037102","10000","1037103","23000","1037104","100000","1037105"
"60217001","60217001","100000","1037103","0","0","0","0","0","0","0","0"
"602170010","602170010","100000","1037103","0","0","0","0","0","0","0","0"
"60218001","60218001","100000","1037103","0","0","0","0","0","0","0","0"
"602180010","602180010","100000","1037103","0","0","0","0","0","0","0","0"
"60217002","60217002","100000","1037103","0","0","0","0","0","0","0","0"
"60260101","60260101","100000","1037103","0","0","0","0","0","0","0","0"
"602601010","602601010","100000","1037103","0","0","0","0","0","0","0","0"
"60260102","60260102","12500","1037102","37500","1037103","100000","1037104","0","0","0","0"
"602601020","602601020","12500","1037102","37500","1037103","100000","1037104","0","0","0","0"
"60260103","60260103","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
"60260104","60260104","238","1037102","100000","1037104","0","0","0","0","0","0"
"602601040","602601040","238","1037102","100000","1037104","0","0","0","0","0","0"
"60298001","60298001","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"602980010","602980010","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"60298002","60298002","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"602980020","602980020","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"60298003","60298003","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"602980030","602980030","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"60298004","60298004","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"602980040","602980040","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"60298005","60298005","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"602980050","602980050","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"60298006","60298006","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"602980060","602980060","3500","1037101","40000","1037103","100000","1037105","0","0","0","0"
"60320001","60320001","45500","1037105","10000","1037104","6000","1037103","5000","1037101","0","0"
"60320002","60320002","48000","1037105","10000","1037104","6000","1037103","5000","1037101","0","0"
"60320003","60320003","51000","1037105","10000","1037104","6000","1037103","5000","1037101","0","0"
"60320004","60320004","55000","1037105","10000","1037104","6000","1037103","5000","1037101","0","0"
"60340001","60340001","100000","1037105","0","0","0","0","0","0","0","0"
"60340002","60340002","100000","1037105","0","0","0","0","0","0","0","0"
"60340003","60340003","100000","1037105","0","0","0","0","0","0","0","0"
"60340004","60340004","100000","1037105","0","0","0","0","0","0","0","0"
"60350001","60350001","100000","1037103","0","0","0","0","0","0","0","0"
"60350002","60350002","100000","1037103","0","0","0","0","0","0","0","0"
"60350003","60350003","100000","1037103","0","0","0","0","0","0","0","0"
"60350004","60350004","100000","1037103","0","0","0","0","0","0","0","0"
"60360001","60360001","100000","1037105","0","0","0","0","0","0","0","0"
"60360002","60360002","100000","1037105","0","0","0","0","0","0","0","0"
"60360003","60360003","100000","1037105","0","0","0","0","0","0","0","0"
"60360004","60360004","100000","1037105","0","0","0","0","0","0","0","0"
"60370001","60370001","100000","1037103","0","0","0","0","0","0","0","0"
"60370002","60370002","100000","1037103","0","0","0","0","0","0","0","0"
"60370003","60370003","100000","1037103","0","0","0","0","0","0","0","0"
"60370004","60370004","100000","1037103","0","0","0","0","0","0","0","0"
"60370005","60370005","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
"60370006","60370006","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
"60370007","60370007","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
"60370008","60370008","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
"60370009","60370009","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
"60410001","60410001","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
"60420001","60420001","1000","1037101","3500","1037102","11000","1037103","23000","1037104","100000","1037105"
