"Name","PosID","Refer","Stage","GenObjectID","GenObjectType","SpawnCount","SpawnRange","ActiveType","RegMinTime","RegMaxTime","GenType","FirstGenDelayMin","FirstGenDelayMax","GroupGenMemo","GroupGenID","GroupGenCountThreshold","RoamingId","RoamingType","GroupGenTimeLine","LinkGroupMemo","LinkGroup","LinkGroupDistance","LocationX","LocationY","LocationZ","RotationRoll","RotationPitch","RotationYaw"
"1","1","","0","110032201","2","1","0","0","0","0","1","0","0","","0","0","0","0","","","1","5500","13630","20620","8080","0","0","249"
"100","100","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"101","101","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"102","102","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"103","103","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"104","104","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"105","105","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"106","106","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"107","107","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"108","108","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"109","109","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"110","110","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"111","111","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"112","112","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"113","113","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"114","114","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
"115","115","메테오","0","110032207","2","1","5000","1","0","0","1","0","0","","0","0","0","0","","","100","0","14170","20830","8080","0","0","0"
