"Name","Row","NpcItemListGroupId","NpcItemListUseType","ClassId","TargetItemMakeId"
"1","1","13103","1","0","2003001"
"2","2","13103","1","0","2003002"
"3","3","13103","1","0","2003003"
"4","4","13103","1","0","2003004"
"5","5","13103","1","0","2003005"
"6","6","13103","1","0","2003006"
"7","7","13103","1","0","2003007"
"8","8","13103","1","0","2003008"
"9","9","13103","1","0","2003009"
"10","10","13103","1","0","2003010"
"11","11","13103","1","0","2003011"
"12","12","14105","1","0","2001001"
"13","13","14105","1","0","2001002"
"14","14","14105","1","0","2001003"
"15","15","14105","1","0","2001004"
"16","16","14105","1","0","2001005"
"17","17","14105","1","0","2001006"
"18","18","14105","1","0","2001007"
"19","19","14105","1","0","2001008"
"20","20","14105","1","0","2001009"
"21","21","14105","1","0","2001010"
"22","22","14105","1","0","2001011"
"23","23","14105","1","0","2001012"
"24","24","14105","1","0","2001013"
"25","25","14105","1","0","2001014"
"26","26","14105","1","0","2001015"
"27","27","14105","1","0","2001016"
"28","28","14105","1","0","2001017"
"29","29","14105","1","0","2001018"
"30","30","14105","1","0","2001019"
"31","31","14105","1","0","2001020"
"32","32","14105","1","0","2001021"
"33","33","14105","1","0","2001022"
"34","34","14105","1","0","2001023"
"35","35","14105","1","0","2001024"
"36","36","14105","1","0","2001116"
"37","37","14105","1","0","2001101"
"38","38","14105","1","0","2001102"
"39","39","14105","1","0","2001103"
"40","40","14105","1","0","2001104"
"41","41","14105","1","0","2001117"
"42","42","14105","1","0","2001105"
"43","43","14105","1","0","2001106"
"44","44","14105","1","0","2001107"
"45","45","14105","1","0","2001108"
"46","46","14105","1","0","2001118"
"47","47","14105","1","0","2001109"
"48","48","14105","1","0","2001110"
"49","49","14105","1","0","2001111"
"50","50","14105","1","0","2001112"
"51","51","14105","1","0","2001113"
"52","52","14105","1","0","2001114"
"53","53","14105","1","0","2001115"
"62","62","14105","1","0","2001202"
"64","64","14105","1","0","2001204"
"65","65","14105","1","0","2001205"
"67","67","14105","1","0","2001207"
"68","68","14105","1","0","2001301"
"69","69","14105","1","0","2001302"
"70","70","14105","1","0","2001303"
"71","71","14105","1","0","2001304"
"72","72","14105","1","0","2001305"
"73","73","14105","1","0","2001306"
"103","103","14105","1","0","2001331"
"104","104","14105","1","0","2001332"
"105","105","14105","1","0","2001333"
"106","106","15104","1","0","2003201"
"107","107","15104","1","0","2003202"
"108","108","15104","1","0","2003203"
"109","109","15104","1","0","2003204"
"110","110","15104","1","0","2003205"
"111","111","15104","1","0","2003206"
"112","112","15104","1","0","2003207"
"116","116","15105","1","0","2003301"
"117","117","15105","1","0","2003302"
"118","118","15105","1","0","2003303"
"119","119","15105","1","0","2003304"
"120","120","15105","1","0","2003305"
"121","121","15105","1","0","2003306"
"122","122","15105","1","0","2003307"
"123","123","15105","1","0","2003308"
"124","124","15105","1","0","2003312"
"125","125","15105","1","0","2003313"
"126","126","15105","1","0","2003314"
"127","127","15105","1","0","2003315"
"128","128","15105","1","0","2003316"
"129","129","15105","1","0","2003317"
"130","130","15106","1","0","2004001"
"131","131","15106","1","0","2004002"
"132","132","15106","1","0","2004003"
"133","133","15106","1","0","2004004"
"134","134","15106","1","0","2004005"
"136","136","15106","1","0","2004020"
"137","137","15106","1","0","2004021"
"138","138","15106","1","0","2004022"
"139","139","15106","1","0","2004023"
"140","140","15106","1","0","2004024"
"141","141","15106","1","0","2004025"
"142","142","15106","1","0","2004026"
"143","143","15106","1","0","2004027"
"144","144","15106","1","0","2004028"
"145","145","15106","1","0","2004029"
"146","146","15106","1","0","2004030"
"147","147","15106","1","0","2004031"
"151","151","15107","1","0","2004112"
"152","152","15107","1","0","2004111"
"153","153","15107","1","0","2004110"
"154","154","15107","1","0","2004115"
"155","155","15107","1","0","2004114"
"156","156","15107","1","0","2004113"
"157","157","15107","1","0","2004116"
"158","158","15108","1","0","5004201"
"159","159","15108","1","0","5004202"
"160","160","15108","1","0","5004203"
"161","161","15108","1","0","5004204"
"162","162","15108","1","0","5004205"
"163","163","15108","1","0","5004206"
"164","164","15109","1","0","5004301"
"165","165","15109","1","0","5004302"
"166","166","15109","1","0","5004320"
"167","167","15109","1","0","5004321"
"168","168","15109","1","0","5004322"
"169","169","15109","1","0","5004323"
"170","170","15109","1","0","5004324"
"171","171","15109","1","0","5004325"
"172","172","15109","1","0","5004326"
"173","173","15109","1","0","5004327"
"174","174","15109","1","0","5004340"
"175","175","15109","1","0","5004341"
"176","176","15109","1","0","5004342"
"177","177","15109","1","0","5004343"
"178","178","15109","1","0","5004344"
"179","179","15109","1","0","5004345"
"180","180","15109","1","0","5004346"
"181","181","15109","1","0","5004347"
"182","182","12101","1","0","2003101"
"183","183","12101","1","0","2003102"
"184","184","12101","1","0","2003103"
"185","185","12101","1","0","2003104"
"186","186","12101","1","0","2003105"
"187","187","12101","1","0","2003106"
"188","188","12101","1","0","2003107"
"189","189","12101","1","0","2003108"
"190","190","12101","1","0","2003109"
"191","191","12101","1","0","2003121"
"192","192","12101","1","0","2003122"
"193","193","12101","1","0","2003123"
"194","194","12101","1","0","2003124"
"195","195","12101","1","0","2003125"
"196","196","12101","1","0","2003126"
"197","197","12101","1","0","2003150"
"198","198","12101","1","0","2003152"
"199","199","12101","1","0","2003151"
"200","200","12101","1","0","11222001"
"201","201","12101","1","0","11222002"
"202","202","12101","1","0","11222003"
"203","203","12101","1","0","11222004"
"204","204","12101","1","0","11222005"
"205","205","12101","1","0","11222006"
"206","206","12101","1","0","11222007"
"207","207","12101","1","0","11222008"
"208","208","12101","1","0","11222009"
"209","209","12101","1","0","11222010"
"210","210","12101","1","0","11222011"
"211","211","12101","1","0","11222012"
"212","212","12101","1","0","11222013"
"213","213","12101","1","0","11222014"
"214","214","12101","1","0","11222015"
"215","215","12101","1","0","11222016"
"216","216","12101","1","0","11222017"
"217","217","12101","1","0","11222018"
"218","218","12101","1","0","11222019"
"219","219","12101","1","0","11222020"
"220","220","12101","1","0","12222101"
"221","221","12101","1","0","12222102"
"222","222","12101","1","0","12222103"
"223","223","12101","1","0","12222104"
"224","224","12101","1","0","12222105"
"225","225","12101","1","0","12222106"
"226","226","12101","1","0","12222107"
"227","227","12101","1","0","12222108"
"228","228","12101","1","0","12222109"
"229","229","12101","1","0","12222110"
