"Name","QuestId","QuestLevel","StepNo","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","100002700","3","1","FADE 1 0 1/NPCSHOW 1001 (-1106,-2709,9970,94)/NPCSHOW 1003 (-976,-2619,9980,169)/NPCSHOW 1004 (-1293,-2704,9970,59)/HUDHIDE/CAMERASET -91 -19 721 6/CAMERAFOCUS (-1257,-1314,10496) (33,-64,0) 3 3/DELAY 6/HUDSHOW","0","","1","0","1","0","(0,0,0,0,0)","0","1","100002010","","(X=-1116.000000,Y=-2499.000000,Z=9970.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1002001","2002001","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"2","100002800","3","1","NPCSHOW 1001 (-1106,-2709,9970,94)/NPCSHOW 1003 (-976,-2619,9980,169)/NPCSHOW 1004 (-1293,-2704,9970,59)","CINEMATIC 1000028000/CUTSCENEDELAY/HUDHIDE/NPCSHOW 2034 (-5650,-450,10840,-29)/NPCJUMP 2034 (-2380,-1770,9910,-26)/NPCHIDE 1004/NPCSHOW 1004 (-1293,-2704,9970,89)/PCWARP (-1166,-2499,9970,161)/CAMERASET 169 -6 700 1/CAMERAFOCUS (-923,-2429,10119) (23,157,0) 1.2 3  (-923,-2429,10119) (0,158,0) 1 1/DELAY 3.2/CAMERAFOCUS (-923,-2429,10119) (0,158,0) 0.1 2.2  (-923,-2429,10119) (-8,179,0) 1 1/NPCRUN 2034 (-1460,-2390,9970,-31) 2/DELAY 2/CINEMATIC 1000029000/CUTSCENEDELAY/HUDSHOW/FADE 0 1 1/DELAY 1/CAMERASET -89 -14 730 1/DELAY 1/PCWARP (-12490,-11780,8912,-90)/NPCSHOW 1001 (-12490,-13030,8910,91)/DELAY 1/FADE 1 0 1","","11","1001","1","0","(0,0,0,0,0)","0","0","100002010","","(X=-1116.000000,Y=-2499.000000,Z=9970.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1002001","2002001","80","36","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","100002900","3","2","NPCSHOW 1001 (-12490,-13030,8910,91)","FADE 0 1 1/DELAY 1/PCWARP (-12490,-12890,8910,-90)/CAMERASET 67 -12 700 1/FADE 1 0 1/CINEMATIC 1000030000/CUTSCENEDELAY","","11","1001","1","0","(0,0,0,0,0)","0","0","100002010","","(X=-12490.000000,Y=-13030.000000,Z=8910.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1002001","2002001","80","36","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"4","100002950","3","3","NPCSHOW 1001 (-12490,-13030,8910,91)","0","","100","0","1","200","(0,0,0,0,0)","0","0","100002010","","(X=-12445.000000,Y=-11050.000000,Z=8912.000000)","(X=0,Y=0,Z=0)","0","0","1020008","1","0","0","0","0","0","1002001","2002002","80","36","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"5","100003100","3","3","NPCSHOW 1001 (-12490,-13030,8910,91)","NPCHIDE 1003/NPCHIDE 1004/NPCHIDE 2034","","100","0","1","200","(0,0,0,0,0)","0","0.1","100002010","","(X=-12260.000000,Y=-10800.000000,Z=8912.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1002001","2002002","80","36","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","120"
"6","100003110","3","4","NPCSHOW 1001 (-12490,-13030,8910,91)","0","","8052","100001003","4","0","(0,0,0,0,0)","1","0","100002010","","(X=-12130.000000,Y=-10330.000000,Z=8912.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","1000","1002001","2002003","100","46","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"7","100003200","3","5","NPCSHOW 1001 (-12490,-13030,8910,92)","CINEMATIC 1000032000/CUTSCENEDELAY/SMALLTALK 1000033000","","11","1001","1","0","(0,0,0,0,0)","0","0","100002010","","(X=-12490.000000,Y=-13030.000000,Z=8910.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1002001","2002001","80","36","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"8","100003300","3","6","0","0","","100","0","1","200","(0,0,0,0,0)","0","0","100002010","","(X=-7350.000000,Y=-11880.000000,Z=9042.000000)","(X=0,Y=0,Z=0)","0","0","1020008","1","0","0","0","0","0","1002001","2002004","80","36","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"9","100003400","3","7","NPCHIDE 1001","0","","8200","5","6","0","(0,0,0,0,0)","1","0","100002010","","(X=-6010.000000,Y=-10120.000000,Z=9042.000000)","(X=-7440.000000,Y=-11520.000000,Z=9042.000000)","0","0","0","0","0","0","0","0","2300","1002001","2002005","150","66","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"10","0","3","8","0","HUDHIDE/CAMERASET -166 -13 700 1/CAMERAFOCUS (-7444,-12640,9244) (-16,-164,0) 0 3 (-6864,-12362,9200) (-6,-165,0) 0 1/NPCSHOW 1003 (-8470,-12960,8790,30)/SMALLTALK 1000033500/NPCRUN 1003 (-7560,-12510,9050,20) 1/DELAY 4/HUDSHOW","","84","10006","1","0","(0,0,0,0,0)","0","0","100002010","","(X=-5775.000000,Y=-10726.000000,Z=9082.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1002001","2002006","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
