"Name","ContentsAlarmId","ContentsId","AlarmConditionType","ContentAlarmTitle","ContentAlarmDesc","GameOptionGroup"
"250003","250003","2500","3","0","3110006","2"
"140003","140003","1400","3","0","3110007","1"
"140007","140007","1400","7","0","3110008","1"
"170004","170004","1700","4","0","3110009","1"
"170007","170007","1700","7","0","3110010","1"
"230003","230003","2300","3","0","3110042","2"
"230006","230006","2300","6","0","3110043","2"
"240003","240003","2400","3","0","3110011","2"
"400003","400003","4000","3","0","3110013","2"
"260003","260003","2600","3","0","3110014","0"
"180003","180003","1800","3","0","3110015","1"
"180004","180004","1800","4","0","3110016","1"
"180007","180007","1800","7","0","3110017","1"
"1800061","1800061","1800","6","0","3110018","1"
"1800062","1800062","1800","6","0","3110019","1"
"210004","210004","2100","4","0","3110021","1"
"210007","210007","2100","7","0","3110022","1"
"331004","331004","3310","4","0","3110023","1"
"336004","336004","3360","4","0","3110025","1"
"335004","335004","3350","4","0","3110026","1"
"334004","334004","3340","4","0","3110027","1"
"337003","337003","3370","3","0","3110044","1"
"337006","337006","3370","6","0","3110048","1"
"160003","160003","1600","3","0","3110028","1"
"160004","160004","1600","4","0","3110029","1"
"160007","160007","1600","7","0","3110030","1"
"190005","190005","1900","5","0","3110066","1"
"450002","450002","4500","2","0","3110038","2"
"450003","450003","4500","3","0","3110039","2"
"450006","450006","4500","6","0","3110040","2"
"380006","380006","3800","6","0","3110041","4"
"530003","530003","5300","3","0","3110045","4"
"530007","530007","5300","7","0","3110071","4"
"530006","530006","5300","6","0","3110047","4"
"470006","470006","4700","6","0","3110049","4"
"561008","561008","5610","8","0","3110053","1"
"562009","562009","5620","9","0","3110054","4"
"110005","110005","1100","5","0","3110057","4"
"540002","540002","5400","2","0","3110059","3"
"540003","540003","5400","3","0","3110074","3"
"540007","540007","5400","7","0","3110061","3"
"540006","540006","5400","6","0","3110062","3"
"540004","540004","5400","4","0","3110058","3"
"590003","590003","5900","3","0","3110084","4"
"590006","590006","5900","6","0","3110067","4"
"999904","999904","9999","4","0","3110063","3"
"272010","272010","2710","10","0","3110064","4"
"670002","670002","6700","2","0","3110068","0"
"110006","110006","1100","6","0","3110069","4"
"185004","185004","1850","4","0","3110070","1"
"690002","690002","6900","2","0","3110072","4"
"700005","700005","7000","5","0","3110073","4"
"710005","710005","7100","5","0","3110075","4"
"390103","390103","3901","3","0","3110079","4"
"720003","720003","7200","3","0","3110076","4"
"720004","720004","7200","4","0","3110077","4"
"720007","720007","7200","7","0","3110078","4"
"740005","740005","7400","5","0","3110082","4"
"299003","299003","2990","3","0","3110080","4"
"299006","299006","2990","6","0","3110081","4"
"186004","186004","1860","4","0","3110083","1"
"810005","810005","8100","5","0","3110085","1"
