"Name","UniqueID","Tier","Grade","ResultItemId","ResultProbability"
"1101","1101","1","1","801200002","100"
"1102","1102","1","1","801200003","100"
"1103","1103","1","1","801200004","100"
"1104","1104","1","1","801200005","100"
"1105","1105","1","1","802200002","100"
"1106","1106","1","1","802200003","100"
"1107","1107","1","1","802200004","100"
"1108","1108","1","1","802200005","100"
"1109","1109","1","1","803200002","100"
"1110","1110","1","1","803200003","100"
"1111","1111","1","1","803200004","100"
"1112","1112","1","1","803200005","100"
"1113","1113","1","1","804200002","100"
"1114","1114","1","1","804200003","100"
"1115","1115","1","1","804200004","100"
"1116","1116","1","1","804200005","100"
"1117","1117","1","1","805200002","100"
"1118","1118","1","1","805200003","100"
"1119","1119","1","1","805200004","100"
"1120","1120","1","1","805200005","100"
"1121","1121","1","1","806200002","100"
"1122","1122","1","1","806200003","100"
"1123","1123","1","1","806200004","100"
"1124","1124","1","1","806200005","100"
