"Name","SetGroupId","NameSid","ItemId01","ItemId02","ItemId03","ItemId04","ItemId05","ItemId06","ItemId07","ItemId08","Bonus01Count","Bonus01AttributeType","Bonus01Value","Bonus02Count","Bonus02AttributeType","Bonus02Value","Bonus03Count","Bonus03AttributeType","Bonus03Value"
"101301","101301","1501111","0","0","0","0","0","0","0","0","2","6","400","3","1","650","4","20","65"
"101401","101401","1501112","0","0","0","0","0","0","0","0","2","6","850","3","1","1415","4","20","145"
"101501","101501","1501113","0","0","0","0","0","0","0","0","2","6","1250","3","1","2100","4","20","205"
"101601","101601","1501114","0","0","0","0","0","0","0","0","2","6","1700","3","1","2850","4","20","280"
"201301","201301","1502111","0","0","0","0","0","0","0","0","2","6","400","3","1","650","4","22","32"
"201401","201401","1502112","0","0","0","0","0","0","0","0","2","6","850","3","1","1415","4","22","72"
"201501","201501","1502113","0","0","0","0","0","0","0","0","2","6","1250","3","1","2100","4","22","102"
"201601","201601","1502114","0","0","0","0","0","0","0","0","2","6","1700","3","1","2850","4","22","140"
"301301","301301","1503111","0","0","0","0","0","0","0","0","2","6","400","3","20","32","4","22","32"
"301401","301401","1503112","0","0","0","0","0","0","0","0","2","6","850","3","20","72","4","22","72"
"301501","301501","1503113","0","0","0","0","0","0","0","0","2","6","1250","3","20","102","4","22","102"
"301601","301601","1503114","0","0","0","0","0","0","0","0","2","6","1700","3","20","140","4","22","140"
