"Name","QuestId","QuestLevel","QuestTitle","StepNo","QuestMission","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","110000000","156","허락되지 않은 땅","1","사부님과 대화","NPCSHOW 9133 (9111,-15206,372,120)/NPCSHOW 91173 (8988,-15459,372,119)/NPCSHOW 91176 (9388,-15229,372,119)/NPCSHOW 91172 (7630,-15539,372,-89)/NPCSHOW 91175 (7920,-15539,372,-89)/NPCSHOW 91178 (7190,-14669,372,0)/NPCSHOW 91173 (7351,-13785,372,90)/NPCSHOW 91177 (7838,-13785,372,90)/NPCSHOW 91179 (8331,-13785,372,90)/NPCSHOW 91174 (9498,-13995,372,-179)/NPCSHOW 91171 (9498,-14375,372,-179)/NPCHIDE 9101/NPCHIDE 9103/NPCSHOW 10003 (6160,-13522,372,-57)/NPCSHOW 10005 (5968,-13735,372,-18)/SMALLTALK 110000100","CINEMATIC 110000100/CUTSCENEDELAY","","12","10003","1","0","(0,0,0,0,0)","0","0","109001060","","(X=6270.000000,Y=-13710.000000,Z=280.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1101001","2101001","216220","39136","0","0","(604200104,604200104,604200104,604200104,604200104,604200104)","20","(0,0,0,0,0,0)","0","0"
"2","110000100","156","허락되지 않은 땅","2","구룡빙원으로 이동","NPCSHOW 9133 (9111,-15206,372,120)/NPCSHOW 91173 (8988,-15459,372,119)/NPCSHOW 91176 (9388,-15229,372,119)/NPCSHOW 91172 (7630,-15539,372,-89)/NPCSHOW 91175 (7920,-15539,372,-89)/NPCSHOW 91178 (7190,-14669,372,0)/NPCSHOW 91173 (7351,-13785,372,90)/NPCSHOW 91177 (7838,-13785,372,90)/NPCSHOW 91179 (8331,-13785,372,90)/NPCSHOW 91174 (9498,-13995,372,-179)/NPCSHOW 91171 (9498,-14375,372,-179)/NPCSHOW 10003 (6160,-13522,372,-57)/NPCSHOW 10005 (5968,-13735,372,-18)","SEQUENCE 10000100/CUTSCENEDELAY","","100","0","1","1000","(0,0,0,0,0)","0","0","110001010","","(X=-32678.000000,Y=24581.000000,Z=114.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1101001","2101002","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","110000200","156","허락되지 않은 땅","3","손덕과 대화","NPCSHOW 10003 (-31634,21786,224,22)/NPCSHOW 10004 (-31388,21641,224,77)/NPCSHOW 10005 (-31106,21723,224,152)","CINEMATIC 110000200/CUTSCENEDELAY/NPCRUN 10003 (-20230,14921,121,-77) 3/NPCRUN 10004 (-20440,14856,129,-72) 3/NPCRUN 10005 (-20514,14558,57,-60) 3","","12","10004","1","0","(0,0,0,0,0)","0","0","110001010","","(X=-31361.000000,Y=21803.000000,Z=110.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1101001","2101003","216220","39136","0","0","(605200104,605200104,605200104,605200104,605200104,605200104)","20","(701200103,701200103,701200103,701200103,701200103,701200103)","20","0"
"4","110000300","156","허락되지 않은 땅","4","사부님 따라가기","0","0","","100","0","1","200","(0,0,0,0,0)","0","0","110001010","","(X=-20194.000000,Y=14370.000000,Z=-132.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1101001","2101004","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"5","0","156","허락되지 않은 땅","4","사부님 따라가기","FADE 1 0 3/HUDHIDE/CAMERASET -66 -12 900 0/CAMERAFOCUS (-20525,14731,208) (-12,-59,0) 0 4 (-18814,11787,518) (-23,-61,0) 3 2/DELAY 2/SMALLTALK 110000200/DELAY 7/HUDSHOW","DELAY 2/NPCRUN 10003 (-20455,-1020,-373,62) 3/NPCRUN 10004 (-20740,-896,-354,17) 3/NPCRUN 10005 (-20650,-612,-371,20) 3","","1","0","1","0","(0,0,0,0,0)","0","0","110001010","","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1101001","2101005","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"6","110000400","156","허락되지 않은 땅","5","설괴 처치","0","0","","8200","2","50","0","(0,0,0,0,0)","1","0","110001010","","(X=-17356.000000,Y=8686.000000,Z=-519.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","12000","1101001","2101006","302710","68721","0","0","(604200104,604200104,604200104,604200104,604200104,604200104)","20","(501200050,501200050,501200050,501200050,501200050,501200050)","1","0"
"7","110000410","156","허락되지 않은 땅","6","사부님 따라가기","0","NPCRUN 10003 (-26085,1184,903,172) 3/NPCRUN 10004 (-25960,1627,907,167) 3/NPCRUN 10005 (-26468,1196,903,14) 3","","100","0","1","200","(0,0,0,0,0)","0","0","110001010","","(X=-20342.000000,Y=-467.000000,Z=-465.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1101001","2101007","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"8","110000420","156","허락되지 않은 땅","6","사부님 따라가기","0","0","","100","0","1","200","(0,0,0,0,0)","0","0","110001010","","(X=-26396.000000,Y=1432.000000,Z=802.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1101001","2101008","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"9","110000500","156","허락되지 않은 땅","7","가온과 대화","0","CINEMATIC 110000300/CUTSCENEDELAY/HUDHIDE/DELAY 2/NPCRUN 10003 (-12025,-3453,-350,-69) 2/NPCRUN 10004 (-11799,-3682,-349,149) 2/NPCRUN 10005 (-36727,-3601,1271,-158) 2/DELAY 3/HUDSHOW","","11","10005","1","0","(0,0,0,0,0)","0","0","110001010","","(X=-26468.000000,Y=1196.000000,Z=903.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1101001","2101009","216220","39136","0","0","(605200104,605200104,605200104,605200104,605200104,605200104)","20","(0,0,0,0,0,0)","0","0"
"10","110000600","156","허락되지 않은 땅","8","쉴만한 장소 찾기","0","0","","100","0","1","200","(0,0,0,0,0)","0","0.1","110001010","","(X=-30692.000000,Y=4740.000000,Z=1046.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1101001","2101010","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
