"Name","PositionID","StageID","Coordinate"
"108","108","200400201","(X=649.000000,Y=7569.000000,Z=170.000000)"
"109","109","200400201","(X=1138.000000,Y=7959.000000,Z=170.000000)"
"110","110","200400201","(X=1138.000000,Y=7599.000000,Z=170.000000)"
"111","111","200400201","(X=1138.000000,Y=7259.000000,Z=170.000000)"
"112","112","200400201","(X=1589.000000,Y=7969.000000,Z=170.000000)"
"113","113","200400201","(X=1588.000000,Y=7610.000000,Z=170.000000)"
"114","114","200400201","(X=1588.000000,Y=7270.000000,Z=170.000000)"
"115","115","200400201","(X=-1384.697876,Y=5779.441406,Z=170.000000)"
"116","116","200400201","(X=-1156.211792,Y=6361.690430,Z=170.000000)"
"117","117","200400201","(X=-976.211548,Y=6049.921875,Z=170.000000)"
"118","118","200400201","(X=-806.211365,Y=5755.473633,Z=170.000000)"
"119","119","200400201","(X=-770.634399,Y=6595.851563,Z=170.000000)"
"120","120","200400201","(X=-592.000122,Y=6284.448242,Z=170.000000)"
"121","121","200400201","(X=-422.000000,Y=5990.000000,Z=170.000000)"
