"Name","QuestId","QuestLevel","StepNo","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","104200100","60","3","CAMERASET 148 -16 500 0.1/NPCSHOW 1003 (-2650,-9925,880,-48)","CINEMATIC 104200100/CUTSCENEDELAY/CAMERASHAKE 1","","11","1003","1","0","(0,0,0,0,0)","0","0","104004040","","(X=-2650.000000,Y=-9925.000000,Z=880.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2001003","30680","3960","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"2","0","60","4","NPCRUN 1003 (550,-11420,785,-10) 2 3","NPCSHOW 1003 (-2650,-9925,880,-140)","","84","10901","1","0","(0,0,0,0,0)","0","0.1","104004040","","(X=-2650.000000,Y=-9925.000000,Z=880.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2042002","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","104200150","60","5","0","CINEMATIC 104200150/CUTSCENEDELAY","","11","1003","1","0","(0,0,0,0,0)","0","0","104004040","","(X=-2650.000000,Y=-9925.000000,Z=880.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2001003","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"4","104200200","60","6","NPCRUN 1003 (550,-11420,785,-10) 2 5","0","","9100","109002001","2","0","(0,0,0,0,0)","1","0","104004040","","(X=-4340.000000,Y=-9535.000000,Z=780.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2042003","26300","2680","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"5","104200300","60","7","NPCSHOW 1003 (-2650,-9925,880,-140)/SMALLTALK 104200300","CINEMATIC 104200300/CUTSCENEDELAY","","12","1003","1","0","(0,0,0,0,0)","0","0","104004040","","(X=-2735.623291,Y=-10043.037109,Z=861.582642)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2001003","21910","2168","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"6","104200400","60","8","SMALLTALK 104200400/NPCRUN 1003 (-4629,-13132,855,-168) 2","NPCSHOW 40177 (-5014,-13426,744,76)","","9100","109002002","1","0","(0,0,0,0,0)","0","0.1","104004040","","(X=-5014.695801,Y=-13426.192383,Z=744.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2042004","26300","2680","12","2000","(604200103,604200103,604200103,604200103,604200103,604200103)","20","(605200103,605200103,605200103,605200103,605200103,605200103)","20","0"
"7","104200500","60","9","SMALLTALK 104200500/NPCRUN 1003 (-5477,-12813,855,-64) 2","NPCSHOW 401771 (-5490,-13308,859,74)/CINEMATIC 104200500/CUTSCENEDELAY/NPCSHOW 1020 (4649,-12504,730,66)/NPCSHOW 1027 (4728,-12375,730,-142)/FADE 1 0 1/PCWARP (-5170,-12970,859,-105)","","9100","109002012","1","0","(0,0,0,0,0)","0","0.1","104004040","","(X=-5430.260254,Y=-13228.250977,Z=769.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2042005","26300","2680","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"8","104200550","60","10","0","SMALLTALK 104200550","","100","0","1","200","(0,0,0,0,0)","0","0","104004040","","(X=3032.829102,Y=-11927.390625,Z=686.251343)","(X=0,Y=0,Z=0)","0","0","1020008","1","0","0","0","0","0","1041007","2021022","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"9","104200600","60","11","0","CINEMATIC 104200600/CUTSCENEDELAY/NPCHIDE 1003/NPCSHOW 1020 (4650,-12504,730,143)/NPCSHOW 1027 (4728,-12375,730,158)","","11","1027","1","0","(0,0,0,0,0)","0","0.1","104004040","","(X=4728.159668,Y=-12375.445313,Z=730.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2031030","21910","2168","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"10","104200700","60","12","NPCSHOW 1002 (10048,-5754,1420,157)/NPCSHOW 2010 (10140,-5643,1430,170)","0","","100","0","1","200","(0,0,0,0,0)","0","0","104004040","","(X=9930.742188,Y=-5701.925781,Z=1419.180542)","(X=0,Y=0,Z=0)","0","0","1020008","1","0","0","0","0","0","1041007","2021022","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"11","104200800","60","13","0","NPCHIDE 1020/NPCHIDE 1027/CINEMATIC 104200900/CUTSCENEDELAY","","12","1002","1","0","(0,0,0,0,0)","0","0","104004040","","(X=9930.742188,Y=-5701.925781,Z=1419.180542)","(X=0,Y=0,Z=0)","0","0","0","1","0","0","0","0","0","1041007","2001005","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"12","104200850","60","14","0","0","","8200","3","20","0","(0,0,0,0,0)","1","0","104004040","","(X=7923.000000,Y=-2788.000000,Z=1418.000000)","(X=0,Y=0,Z=0)","100110","10000","0","0","0","0","1","0","2500","1041007","2041046","30680","3960","11","600","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0","0"
"13","104200900","60","15","SMALLTALK 104200900/NPCSHOW 1020 (6545,-6755,1420,90)/NPCSHOW 1027 (6340,-6755,1420,90)/NPCRUN 1020 (10036,-5363,1430,-72) 2/NPCRUN 1027 (9897,-5408,1420,-61) 2","CINEMATIC 104200950/CUTSCENEDELAY","","12","1002","1","0","(0,0,0,0,0)","0","0","104004040","","(X=9909.742188,Y=-5699.925781,Z=1418.180542)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1041007","2001005","30680","3960","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
