"Name","RandomOptionGroupId","OptionType","AttributeType","OptionTypeValue","OptionRate"
"101","1001","1","30","101","4200"
"102","1001","1","31","102","4200"
"103","1001","1","32","103","4200"
"104","1001","1","33","104","4200"
"105","1001","1","34","105","4200"
"106","1001","1","35","106","4200"
"109","1001","1","38","109","4200"
"110","1001","1","39","110","4200"
"111","1001","1","40","111","4200"
"112","1001","1","41","112","4200"
"113","1001","1","42","113","4200"
"114","1001","1","43","114","4200"
"115","1001","1","44","115","4000"
"116","1001","1","45","116","4000"
"117","1001","1","46","117","4000"
"118","1001","1","47","118","4000"
"119","1001","1","48","119","4200"
"120","1001","1","49","120","4200"
"121","1001","1","50","121","4200"
"122","1001","1","51","122","4200"
"123","1001","1","52","123","4200"
"124","1001","1","53","124","4200"
"125","1001","1","119","125","4200"
"126","1001","1","120","126","4200"
"201","1002","1","30","201","4200"
"202","1002","1","31","202","4200"
"203","1002","1","32","203","4200"
"204","1002","1","33","204","4200"
"205","1002","1","34","205","4200"
"206","1002","1","35","206","4200"
"209","1002","1","38","209","4200"
"210","1002","1","39","210","4200"
"211","1002","1","40","211","4200"
"212","1002","1","41","212","4200"
"213","1002","1","42","213","4200"
"214","1002","1","43","214","4200"
"215","1002","1","44","215","4000"
"216","1002","1","45","216","4000"
"217","1002","1","46","217","4000"
"218","1002","1","47","218","4000"
"219","1002","1","48","219","4200"
"220","1002","1","49","220","4200"
"221","1002","1","50","221","4200"
"222","1002","1","51","222","4200"
"223","1002","1","52","223","4200"
"224","1002","1","53","224","4200"
"225","1002","1","119","225","4200"
"226","1002","1","120","226","4200"
"301","1003","1","30","301","4200"
"302","1003","1","31","302","4200"
"303","1003","1","32","303","4200"
"304","1003","1","33","304","4200"
"305","1003","1","34","305","4200"
"306","1003","1","35","306","4200"
"309","1003","1","38","309","4200"
"310","1003","1","39","310","4200"
"311","1003","1","40","311","4200"
"312","1003","1","41","312","4200"
"313","1003","1","42","313","4200"
"314","1003","1","43","314","4200"
"315","1003","1","44","315","4000"
"316","1003","1","45","316","4000"
"317","1003","1","46","317","4000"
"318","1003","1","47","318","4000"
"319","1003","1","48","319","4200"
"320","1003","1","49","320","4200"
"321","1003","1","50","321","4200"
"322","1003","1","51","322","4200"
"323","1003","1","52","323","4200"
"324","1003","1","53","324","4200"
"325","1003","1","119","325","4200"
"326","1003","1","120","326","4200"
"401","1004","1","30","401","4200"
"402","1004","1","31","402","4200"
"403","1004","1","32","403","4200"
"404","1004","1","33","404","4200"
"405","1004","1","34","405","4200"
"406","1004","1","35","406","4200"
"409","1004","1","38","409","4200"
"410","1004","1","39","410","4200"
"411","1004","1","40","411","4200"
"412","1004","1","41","412","4200"
"413","1004","1","42","413","4200"
"414","1004","1","43","414","4200"
"415","1004","1","44","415","4000"
"416","1004","1","45","416","4000"
"417","1004","1","46","417","4000"
"418","1004","1","47","418","4000"
"419","1004","1","48","419","4200"
"420","1004","1","49","420","4200"
"421","1004","1","50","421","4200"
"422","1004","1","51","422","4200"
"423","1004","1","52","423","4200"
"424","1004","1","53","424","4200"
"425","1004","1","119","425","4200"
"426","1004","1","120","426","4200"
"501","1005","1","30","501","4200"
"502","1005","1","31","502","4200"
"503","1005","1","32","503","4200"
"504","1005","1","33","504","4200"
"505","1005","1","34","505","4200"
"506","1005","1","35","506","4200"
"509","1005","1","38","509","4200"
"510","1005","1","39","510","4200"
"511","1005","1","40","511","4200"
"512","1005","1","41","512","4200"
"513","1005","1","42","513","4200"
"514","1005","1","43","514","4200"
"515","1005","1","44","515","4000"
"516","1005","1","45","516","4000"
"517","1005","1","46","517","4000"
"518","1005","1","47","518","4000"
"519","1005","1","48","519","4200"
"520","1005","1","49","520","4200"
"521","1005","1","50","521","4200"
"522","1005","1","51","522","4200"
"523","1005","1","52","523","4200"
"524","1005","1","53","524","4200"
"525","1005","1","119","525","4200"
"526","1005","1","120","526","4200"
"601","1006","1","30","601","4200"
"602","1006","1","31","602","4200"
"603","1006","1","32","603","4200"
"604","1006","1","33","604","4200"
"605","1006","1","34","605","4200"
"606","1006","1","35","606","4200"
"609","1006","1","38","609","4200"
"610","1006","1","39","610","4200"
"611","1006","1","40","611","4200"
"612","1006","1","41","612","4200"
"613","1006","1","42","613","4200"
"614","1006","1","43","614","4200"
"615","1006","1","44","615","4000"
"616","1006","1","45","616","4000"
"617","1006","1","46","617","4000"
"618","1006","1","47","618","4000"
"619","1006","1","48","619","4200"
"620","1006","1","49","620","4200"
"621","1006","1","50","621","4200"
"622","1006","1","51","622","4200"
"623","1006","1","52","623","4200"
"624","1006","1","53","624","4200"
"625","1006","1","119","625","4200"
"626","1006","1","120","626","4200"
"701","1007","1","30","701","4200"
"702","1007","1","31","702","4200"
"703","1007","1","32","703","4200"
"704","1007","1","33","704","4200"
"705","1007","1","34","705","4200"
"706","1007","1","35","706","4200"
"709","1007","1","38","709","4200"
"710","1007","1","39","710","4200"
"711","1007","1","40","711","4200"
"712","1007","1","41","712","4200"
"713","1007","1","42","713","4200"
"714","1007","1","43","714","4200"
"715","1007","1","44","715","4000"
"716","1007","1","45","716","4000"
"717","1007","1","46","717","4000"
"718","1007","1","47","718","4000"
"719","1007","1","48","719","4200"
"720","1007","1","49","720","4200"
"721","1007","1","50","721","4200"
"722","1007","1","51","722","4200"
"723","1007","1","52","723","4200"
"724","1007","1","53","724","4200"
"725","1007","1","119","725","4200"
"726","1007","1","120","726","4200"
"801","1008","1","30","801","4200"
"802","1008","1","31","802","4200"
"803","1008","1","32","803","4200"
"804","1008","1","33","804","4200"
"805","1008","1","34","805","4200"
"806","1008","1","35","806","4200"
"809","1008","1","38","809","4200"
"810","1008","1","39","810","4200"
"811","1008","1","40","811","4200"
"812","1008","1","41","812","4200"
"813","1008","1","42","813","4200"
"814","1008","1","43","814","4200"
"815","1008","1","44","815","4000"
"816","1008","1","45","816","4000"
"817","1008","1","46","817","4000"
"818","1008","1","47","818","4000"
"819","1008","1","48","819","4200"
"820","1008","1","49","820","4200"
"821","1008","1","50","821","4200"
"822","1008","1","51","822","4200"
"823","1008","1","52","823","4200"
"824","1008","1","53","824","4200"
"825","1008","1","119","825","4200"
"826","1008","1","120","826","4200"
"901","1009","1","30","901","4200"
"902","1009","1","31","902","4200"
"903","1009","1","32","903","4200"
"904","1009","1","33","904","4200"
"905","1009","1","34","905","4200"
"906","1009","1","35","906","4200"
"909","1009","1","38","909","4200"
"910","1009","1","39","910","4200"
"911","1009","1","40","911","4200"
"912","1009","1","41","912","4200"
"913","1009","1","42","913","4200"
"914","1009","1","43","914","4200"
"915","1009","1","44","915","4000"
"916","1009","1","45","916","4000"
"917","1009","1","46","917","4000"
"918","1009","1","47","918","4000"
"919","1009","1","48","919","4200"
"920","1009","1","49","920","4200"
"921","1009","1","50","921","4200"
"922","1009","1","51","922","4200"
"923","1009","1","52","923","4200"
"924","1009","1","53","924","4200"
"925","1009","1","119","925","4200"
"926","1009","1","120","926","4200"
"1001","1010","1","30","1001","4200"
"1002","1010","1","31","1002","4200"
"1003","1010","1","32","1003","4200"
"1004","1010","1","33","1004","4200"
"1005","1010","1","34","1005","4200"
"1006","1010","1","35","1006","4200"
"1009","1010","1","38","1009","4200"
"1010","1010","1","39","1010","4200"
"1011","1010","1","40","1011","4200"
"1012","1010","1","41","1012","4200"
"1013","1010","1","42","1013","4200"
"1014","1010","1","43","1014","4200"
"1015","1010","1","44","1015","4000"
"1016","1010","1","45","1016","4000"
"1017","1010","1","46","1017","4000"
"1018","1010","1","47","1018","4000"
"1019","1010","1","48","1019","4200"
"1020","1010","1","49","1020","4200"
"1021","1010","1","50","1021","4200"
"1022","1010","1","51","1022","4200"
"1023","1010","1","52","1023","4200"
"1024","1010","1","53","1024","4200"
"1025","1010","1","119","1025","4200"
"1026","1010","1","120","1026","4200"
"1101","1011","1","30","1101","4200"
"1102","1011","1","31","1102","4200"
"1103","1011","1","32","1103","4200"
"1104","1011","1","33","1104","4200"
"1105","1011","1","34","1105","4200"
"1106","1011","1","35","1106","4200"
"1109","1011","1","38","1109","4200"
"1110","1011","1","39","1110","4200"
"1111","1011","1","40","1111","4200"
"1112","1011","1","41","1112","4200"
"1113","1011","1","42","1113","4200"
"1114","1011","1","43","1114","4200"
"1115","1011","1","44","1115","4000"
"1116","1011","1","45","1116","4000"
"1117","1011","1","46","1117","4000"
"1118","1011","1","47","1118","4000"
"1119","1011","1","48","1119","4200"
"1120","1011","1","49","1120","4200"
"1121","1011","1","50","1121","4200"
"1122","1011","1","51","1122","4200"
"1123","1011","1","52","1123","4200"
"1124","1011","1","53","1124","4200"
"1125","1011","1","119","1125","4200"
"1126","1011","1","120","1126","4200"
"1201","1012","1","30","1201","4200"
"1202","1012","1","31","1202","4200"
"1203","1012","1","32","1203","4200"
"1204","1012","1","33","1204","4200"
"1205","1012","1","34","1205","4200"
"1206","1012","1","35","1206","4200"
"1209","1012","1","38","1209","4200"
"1210","1012","1","39","1210","4200"
"1211","1012","1","40","1211","4200"
