"Name","QuestId","QuestLevel","QuestTitle","StepNo","QuestMission","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","202100010","170","차원의 균열 봉인","1","일등항해사 불비와 대화","NPCSHOW 2000003 (-11923,-16554,7920,50)","CINEMATIC 111020100/CUTSCENEDELAY","","11","2000003","1","0","(0,0,0,0,0,0)","0","0","110500020","","(X=-11998.000000,Y=-16445.000000,Z=7920.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500201","210500201","244480","23157","11","3000","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(0,0,0,0,0,0)","0","0"
"2","202100020","170","차원의 균열 봉인","2","차원의 균열 닫기","NPCSHOW 2000003 (-11923,-16554,7920,50)","0","","9100","110500305","1","100000","(0,0,0,0,0,0)","0","0","110500020","","(X=-12905.000000,Y=-17427.000000,Z=7964.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500201","210500202","244480","23157","0","0","(901200305,901200305,901200305,901200305,901200305,901200305)","3","(604200305,604200305,604200305,604200305,604200305,604200305)","2","0"
"3","202100030","170","차원의 균열 봉인","3","일등항해사 불비와 대화","NPCSHOW 2000003 (-11923,-16554,7920,50)","CINEMATIC 111020200/CUTSCENEDELAY/NPCHIDE 2000003","","11","2000003","1","0","(0,0,0,0,0,0)","0","0","110500020","","(X=-11998.000000,Y=-16445.000000,Z=7920.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500201","210500203","244480","23157","0","0","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(0,0,0,0,0,0)","0","0"
"4","202100040","170","대장장이 불영을 찾아서","1","기관실로 이동","NPCSHOW 2000303 (6866,1393,1863,-34)","SmallTalk 111020100","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500030","","(X=-300.189758,Y=-220.789795,Z=2787.181152)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500202","210500204","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"5","202100050","170","대장장이 불영을 찾아서","2","발전실 근처로 이동","NPCSHOW 2000303 (6866,1393,1863,-34)","HUDHIDE/CAMERASET 0 -24 700 1/CAMERAFOCUS (6501,-336,2287) (-15,-24,0) 2 2 (7039,508,2287) (-26,99,0) 2 2/DELAY 4/SmallTalk 111020200/DELAY 2/HUDSHOW","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500030","","(X=6506.120117,Y=-67.000000,Z=1863.000244)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500202","210500205","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"6","202100060","170","대장장이 불영을 찾아서","3","쓰러진 불영 살피기","NPCSHOW 2000303 (6866,1393,1863,-34)","0","","8052","400004107","1","0","(0,0,0,0,0,0)","0","0","110500030","","(X=6916.120117,Y=1083.000000,Z=1863.000244)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","2000","2000","110500202","210500206","488960","91431","0","0","(701200104,701200104,701200104,701200104,701200104,701200104)","5","(701200404,701200404,701200404,701200404,701200404,701200404)","3","0"
"7","202100070","170","화로 수리","1","대장장이 불영과 대화","NPCSHOW 2000303 (6866,1393,1863,-34)","CINEMATIC 111020300/CUTSCENEDELAY/NPCHIDE 2000303","","11","2000303","1","0","(0,0,0,0,0,0)","0","0","110500030","","(X=6916.120117,Y=1083.000000,Z=1863.000244)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500203","210500207","244480","23157","0","0","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(0,0,0,0,0,0)","0","0"
"8","202100080","170","화로 수리","2","화로대 찾아오기","NPCSHOW 2000301 (15160,280,740,-174)/DELAY 1/SmallTalk 111020400","0","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500030","","(X=8923.000000,Y=-6266.000000,Z=1175.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500203","210500208","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"9","202100090","170","화로 수리","3","백인장주 몰루오 처치","NPCSHOW 2000301 (15160,280,740,-174)","DELAY 1/SmallTalk 111020500","","8050","400004108","1","100000","(0,0,0,0,0,0)","0","0","110500030","","(X=10823.000000,Y=-8346.000000,Z=1175.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","310500201","1","2500","2500","110500203","210500209","427850","79294","11","3000","(501200050,501200050,501200050,501200050,501200050,501200050)","1","(1301201706,1301201706,1301201706,1301201706,1301201706,1301201706)","10","0"
"10","202100100","170","화로 수리","4","대장장이 불영과 대화","NPCSHOW 2000301 (15160,280,740,-174)","CINEMATIC 111020400/CUTSCENEDELAY","","11","2000301","1","0","(0,0,0,0,0,0)","0","0","110500030","","(X=14961.801758,Y=249.751526,Z=652.866760)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500203","210500210","244480","23157","12","4500","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(0,0,0,0,0,0)","0","0"
