"Name","QuestId","QuestLevel","StepNo","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","106100200","85","2","NPCSHOW 2035 (254,-1696,-90,-110)/NPCSHOW 2034 (320,-2140,-110,127)/NPCSHOW 2036 (89,-2064,-110,103)/NPCSHOW 2037 (-211,-2179,-110,66)/NPCSHOW 2038 (-496,-2023,-110,20)/NPCSHOW 2039 (-337,-1617,-90,-46)/NPCSHOW 3018 (-1374,4649,-330,90)/NPCSHOW 37361 (2170,-750,-110,-25)/NPCSHOW 37353 (2160,680,-110,-123)/NPCSHOW 3734 (1890,1060,-110,-144)/NPCSHOW 37342 (1850,1410,-110,-93)/NPCSHOW 37352 (2490,-780,-60,144)/NPCSHOW 37351 (2400,-940,-110,-174)/NPCSHOW 37341 (2160,-1380,-110,112)/NPCSHOW 3735 (1900,-1710,-110,124)/NPCSHOW 37306 (-2200,-228,-100,0)/NPCSHOW 37305 (-2165,147,-100,0)/NPCSHOW 37304 (-2135,555,-100,0)/NPCSHOW 37307 (-575,5835,-340,-90)/NPCSHOW 37308 (715,5835,-340,-90)/NPCSHOW 37309 (-4915,3045,-340,50)/NPCSHOW 37322 (-2506,-231,-100,0)/NPCSHOW 37321 (-2471,191,-100,0)/NPCSHOW 3732 (-2426,605,-100,0)/NPCSHOW 3729 (-1833,131,-100,178)","CINEMATIC 106100200/CUTSCENEDELAY","","12","3018","1","0","(0,0,0,0,0)","0","0","105002020","","(X=-1370.000000,Y=4830.000000,Z=-430.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1052006","2061146","53900","0","0","0","(508200002,508200002,508200002,508200002,508200002,508200002)","1","(0,0,0,0,0,0)","0","0"
"2","106100600","85","3","0","NPCHIDE 2035/NPCHIDE 2034/NPCHIDE 2036/NPCHIDE 2037/NPCHIDE 2038/NPCHIDE 2039/NPCHIDE 2028/NPCHIDE 1014/NPCHIDE 3025/NPCHIDE 30251/NPCHIDE 30252/NPCHIDE 3729/NPCHIDE 37322/NPCHIDE 37321/NPCHIDE 3732/NPCHIDE 37304/NPCHIDE 37305/NPCHIDE 37306","","100","0","1","200","(0,0,0,0,0)","0","0","105002010","","(X=-11270.000000,Y=-6860.000000,Z=680.000000)","(X=-10070.000000,Y=-8970.000000,Z=1290.000000)","0","0","1020008","0","0","0","0","0","0","1052006","2061004","75460","0","0","0","(901200304,901200304,901200304,901200304,901200304,901200304)","2","(0,0,0,0,0,0)","0","0"
"3","0","85","4","0","SMALLTALK 106100605","","84","12001","1","0","(0,0,0,0,0)","0","0.1","105002010","","(X=-11250.000000,Y=-7290.000000,Z=750.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1052006","2061005","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"4","106100700","85","5","0","HUDHIDE/SMALLTALK 106100610/DELAY 3/CAMERAFOCUS (-16540,-5680,1050) (7,77,0) 1 5 (-16410,-5190,1140) (7,77,0) 1 1/DELAY 6/HUDSHOW","","9100","120001011","3","100000","(0,0,0,0,0)","1","0","105002010","","(X=-16610.000000,Y=-5960.000000,Z=760.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1052006","2061006","64680","0","0","0","(901200204,901200204,901200204,901200204,901200204,901200204)","4","(0,0,0,0,0,0)","0","0"
"5","106100750","85","1","0","CAMERASET 49 -12 500 5/CAMERAFOCUS (-16417,-3315,962) (3,61,0) 0.1 3 (-16127,-2835,962) (3,57,0) 1 2/HUDHIDE/NPCSHOW 2040 (-13792,-3301,-320,116)/NPCSHOW 2039 (-13569,-3619,-280,124)/NPCJUMP 2040 (-15896,2866,400,106)/NPCJUMP 2039 (-15836,2637,410,112)/DELAY 2/SMALLTALK 106100650/DELAY 3/NPCHIDE 2039/NPCHIDE 2040/HUDSHOW","","100","0","1","200","(0,0,0,0,0)","0","0","105002010","","(X=-16903.000000,Y=-3331.000000,Z=790.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1061001","2031085","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"6","106100800","85","2","NPCSHOW 1012 (-18610,7360,-1130,96)/NPCSHOW 1026 (-18650,7590,-1140,-80)","CAMERAFOCUS (-19106,4510,297) (-24,82,0) 0.1 3 (-18229,6910,-860) (-20,126,0) 1 1/DELAY 3/CINEMATIC 106100800/CUTSCENEDELAY/CAMERASET 85 -9 500 2/CAMERAFOCUS (-18776,6578,-777) (-19,85,0) 0.1 2/NPCRUN 1026 (-24320,11640,-1510,77) 2/DELAY 0.5/NPCRUN 1012 (-24050,11710,-1530,117) 2/DELAY 1.5/SMALLTALK 106100800/NPCHIDE 1026/NPCHIDE 1012","","100","0","1","200","(0,0,0,0,0)","0","0","105002010","","(X=-19098.783203,Y=4908.497559,Z=-93.257584)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1061001","2061008","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"7","106100900","85","2","NPCSHOW 2041 (-24410,14010,960,-90)/NPCSHOW 2039 (-24140,11640,-1530,108)/NPCSHOW 2040 (-24460,11570,-1500,67)","HUDHIDE/CAMERAFOCUS (-20691,9116,-1217) (1,141,0) 0.1 5 (-22459,10378,-1128) (-6,139,0) 3 1/SMALLTALK 106100660/DELAY 1.5/NPCJUMP 2041 (-24270,12100,-1510,-72)/DELAY 3/NPCBB 2040 0 3 1090024/CAMERASET 121 -14 500 4/CAMERAFOCUS (-22459,10378,-1128) (-6,139,0) 0.1 1 (-23595,11141,-1239) (-10,130,0) 3 1/DELAY 0.8/SMALLTALK 106100700/DELAY 4","","100","0","1","1200","(0,0,0,0,0)","0","0","105002010","","(X=-21970.000000,Y=10080.000000,Z=-1580.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1061001","2061008","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"8","0","85","2","0","DELAY 1/CINEMATIC 106101000/CUTSCENEDELAY/NPCHIDE 2041/NPCHIDE 2039/NPCHIDE 2040/NPCSHOW 2039 (-23590,10970,-1530,-41)/NPCSHOW 2040 (-23850,11230,-1530,-39)/FADE 1 1 3/DELAY 1/FADE 1 0 1/HUDHIDE/CAMERASET -65 -2 500 4/CAMERAFOCUS (-20549,11279,-1455) (8,-154,0) 0.1 4  (-20549,11279,-1455) (26,-99,0) 1 2/NPCRUN 2039 (-22770,10540,-1530,-51) 2/NPCRUN 2040 (-22880,10680,-1530,-50) 2/DELAY 1/NPCJUMP 2039 (-17310,5660,-710,-50)/DELAY 0.5/NPCJUMP 2040 (-17440,5390,-710,-36)/DELAY 1/SMALLTALK 106100900/DELAY 3/HUDSHOW/NPCHIDE 2039/NPCHIDE 2040","","100","0","1","200","(0,0,0,0,0)","0","0.1","105002010","","(X=-20870.000000,Y=11140.000000,Z=-1690.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1061001","2061008","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"9","106101100","85","2","0","0","","100","0","1","200","(0,0,0,0,0)","0","0","105002010","","(X=-20430.000000,Y=8810.000000,Z=-1390.000000)","(X=-20870.000000,Y=11140.000000,Z=-1690.000000)","0","0","1020008","0","0","0","0","0","0","1061001","2061008","75460","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"10","0","85","3","0","SMALLTALK 106101100","","84","12002","1","0","(0,0,0,0,0)","0","0.1","105002010","","(X=-20850.000000,Y=9460.000000,Z=-1600.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1061001","2061009","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
