"Name","RowId","TargetName","Cooltime"
"1000","1000","410003","120"
"1001","1001","410004","120"
"1002","1002","410005","120"
"1003","1003","410006","120"
"1004","1004","410007","120"
"1005","1005","410008","120"
"1100","1100","410009","120"
"1101","1101","410010","120"
"1102","1102","410011","120"
"1103","1103","410012","120"
"1104","1104","410013","120"
"1105","1105","410014","120"
"1200","1200","410015","120"
"1201","1201","410016","120"
"1202","1202","410017","120"
"1203","1203","410018","120"
"1204","1204","410019","120"
"1205","1205","410020","120"
"1206","1206","410021","120"
"1207","1207","410022","120"
"1210","1210","410024","120"
"1211","1211","410025","120"
"1212","1212","410026","120"
"1213","1213","410027","120"
"1214","1214","410028","120"
"1215","1215","410029","120"
"1300","1300","410030","120"
"1301","1301","410031","120"
"1302","1302","410032","120"
"1303","1303","410033","120"
"1400","1400","410034","120"
"1401","1401","410035","120"
"1402","1402","410036","120"
"1403","1403","410037","120"
"1404","1404","410038","120"
"1405","1405","410477","120"
"2000","2000","410039","120"
"2001","2001","410040","120"
"2002","2002","410041","120"
"2003","2003","410042","120"
"2004","2004","410043","120"
"2005","2005","410044","120"
"2006","2006","410045","120"
"2007","2007","410046","120"
"2008","2008","410047","120"
"2009","2009","410048","120"
"2010","2010","410049","120"
"2011","2011","410050","120"
"2012","2012","410051","120"
"2013","2013","410052","120"
"2014","2014","410053","120"
"2015","2015","410054","120"
"2016","2016","410055","120"
"2017","2017","410056","120"
"2018","2018","410057","120"
"2019","2019","410058","120"
"2020","2020","410059","120"
"2021","2021","410060","120"
"2022","2022","410061","120"
"2023","2023","410062","120"
"2024","2024","410063","120"
"2025","2025","410064","120"
"2026","2026","410065","120"
"2027","2027","410066","120"
"2028","2028","410067","120"
"2029","2029","410068","120"
"2031","2031","410070","120"
"2032","2032","410071","120"
"2035","2035","410074","120"
"2036","2036","410075","120"
"2037","2037","410076","120"
"2038","2038","410077","120"
"2039","2039","410078","120"
"2040","2040","410079","120"
"2041","2041","410080","120"
"2100","2100","410081","120"
"2101","2101","410082","120"
"2102","2102","410083","120"
"2103","2103","410084","120"
"2104","2104","410085","120"
"2105","2105","410086","120"
"2106","2106","410087","120"
"2107","2107","410088","120"
"2108","2108","410089","120"
"3001","3001","410091","120"
"3002","3002","410092","120"
"3003","3003","410093","120"
"3004","3004","410094","120"
"3005","3005","410095","120"
"3006","3006","410096","120"
"3007","3007","410097","120"
"3008","3008","410098","120"
"3009","3009","410445","120"
"3010","3010","410446","120"
"3011","3011","410447","120"
"3012","3012","410448","120"
"3013","3013","410449","120"
"3014","3014","410450","120"
"3023","3023","410623","120"
"3024","3024","410652","120"
"3025","3025","410638","120"
"3026","3026","410660","120"
"3027","3027","410662","120"
"3028","3028","410663","120"
"3029","3029","410664","120"
"3030","3030","410665","120"
"3031","3031","410666","120"
"3032","3032","410667","120"
"3033","3033","410668","120"
"3034","3034","410669","120"
"3035","3035","410659","120"
"3036","3036","410670","120"
"3037","3037","410671","120"
"3038","3038","410672","120"
"3039","3039","410673","120"
"3040","3040","105401001","120"
"3041","3041","105401002","120"
"3042","3042","105401003","120"
"3043","3043","105401004","120"
"3044","3044","105401005","120"
"3045","3045","105401006","120"
"3046","3046","105401007","120"
"3047","3047","105401008","120"
"3048","3048","105401009","120"
"3049","3049","105401010","120"
"3050","3050","105300001","120"
"3051","3051","105300101","120"
"3052","3052","105300201","120"
"3053","3053","105300301","120"
"3054","3054","105300301","120"
"3071","3071","105300102","120"
"3072","3072","105300103","120"
"3073","3073","105300104","120"
